ID	NAMES	METACYC	EQUATION	ECs
RXN-17341		RXN-17341	CPD-18743[0] + OXYGEN-MOLECULE[0] + NADH[0] + PROTON[0] <=> CPD-18745[0] + NAD[0]	EC-1.14.12.18
R541-RXN		R541-RXN	CPD-862[0] + (2) Reduced-Putidaredoxins[0] + OXYGEN-MOLECULE[0] + (2) PROTON[0] => CPD-863[0] + (2) Oxidized-Putidaredoxins[0] + WATER[0]	EC-1.14.15.1
RXN-12896	peroxyureidoacrylate/ureidoacrylate amidohydrolase	RXN-12896	CPD-13927[0] + WATER[0] => CPD-13930[0] + CARBAMATE[0] + PROTON[0]	-
RXN-9357		RXN-9357	UBIQUINONE-9[0] + AMMONIUM[0] + WATER[0] <=> CPD-9967[0] + CARBON-DIOXIDE[0]	-
RXN-15754		RXN-15754	GAP[0] + NAD-P-OR-NOP[0] + WATER[0] <=> G3P[0] + NADH-P-OR-NOP[0] + (2) PROTON[0]	EC-1.2.1.90
MRNA-GUANYLYLTRANSFERASE-RXN		MRNA-GUANYLYLTRANSFERASE-RXN	CPD-8630[0] + GTP[0] + (2) PROTON[0] => G5-pppR-mRNAs[0] + PPI[0]	EC-2.7.7.50
RXN-17105		RXN-17105	CPD-12646[0] + OXYGEN-MOLECULE[0] + (2) FERROCYTOCHROME-B5[0] + (2) PROTON[0] <=> CPD-14407[0] + (2) WATER[0] + (2) FERRICYTOCHROME-B5[0]	EC-1.14.19
RXN0-3601		RXN0-3601	GAMMA-BUTYROBETAINYL-COA[0] + CARNITINE[0] <=> GAMMA-BUTYROBETAINE[0] + L-CARNITINYL-COA[0]	EC-2.8.3.21
RXN-14584		RXN-14584	CPD-15441[0] + WATER[0] => CPD-15446[0] + Glucopyranose[0]	-
R123-RXN		R123-RXN	PROTON[0] + N-ISOPROPYLAMMELIDE[0] + WATER[0] <=> CYANURIC-ACID[0] + ISOPROPYLAMINE[0]	EC-3.5.4.42
RXN66-16	4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol 4-dehydrogenase	RXN66-16	CPD-8611[0] + OXYGEN-MOLECULE[0] + (2) FERROCYTOCHROME-B5[0] + (2) PROTON[0] <=> CPD-8612[0] + (2) WATER[0] + (2) FERRICYTOCHROME-B5[0]	-
RXN-17973		RXN-17973	MALONYL-COA[0] + GLN[0] + ATP[0] + WATER[0] => CPD-17870[0] + GLT[0] + AMP[0] + PPI[0] + PROTON[0]	EC-6.3.5.M2
RXN-13261		RXN-13261	Stearoyl-ACPs[0] + MALONYL-COA[0] + (3) PROTON[0] <=> CPD-14220[0] + (2) CARBON-DIOXIDE[0] + ACP[0] + CO-A[0]	EC-2.3.1
RXN-15954		RXN-15954	CPD-13109[0] + (15) MALONYL-COA[0] + (4) D-METHYL-MALONYL-COA[0] + (28) NADPH[0] + (47) PROTON[0] <=> CPD-17193[0] + (20) CO-A[0] + (15) CARBON-DIOXIDE[0] + (16) WATER[0] + (28) NADP[0]	EC-2.3.1
RXN-12388		RXN-12388	PYRROLE-2-CARBOXYLATE[0] + PROTON[0] <=> Pyrroles[0] + CARBON-DIOXIDE[0]	EC-4.1.1.93
RXN-19705		RXN-19705	CPD-12575[0] + CPD-15447[0] => CPD-15446[0] + UDP[0] + PROTON[0]	EC-2.4.1.dw
RXN-7669	Amylo-(1,4-1,6)-transglycosylase|Amylo-(1,4 to 1,6)transglucosidase	RXN-7669	POLY-GLUCOSYLATED-GLYCOGENINS[0] <=> Glycogens[0]	EC-2.4.1.18
2.3.1.173-RXN		2.3.1.173-RXN	P-COUMAROYL-COA[0] + Flavonol-glucosyl-glucosyl-glucosides[0] <=> CO-A[0] + Flavonol-cumaroyl-glucosides[0]	EC-2.3.1.173
RXN-7065		RXN-7065	CPD-12575[0] + CPD-6623[0] <=> PROTON[0] + CPD-6625[0] + UDP[0]	EC-2.4.1
RXN-16628		RXN-16628	Oleoyl-ACPs[0] + NAD[0] <= 2E-9Z-octadeca-2-9-dienoyl-ACPs[0] + NADH[0] + PROTON[0]	EC-1.3.1.9
TRANS-RXN-320		TRANS-RXN-320	ATP[0] + Glucopyranose[1] + WATER[0] => ADP[0] + Glucopyranose[0] + Pi[0] + PROTON[0]	EC-7.5.2
RXN-10626		RXN-10626	CPD-9087[0] + Red-NADPH-Hemoprotein-Reductases[0] + OXYGEN-MOLECULE[0] <=> CPD-11423[0] + Ox-NADPH-Hemoprotein-Reductases[0] + WATER[0]	EC-1.14.14.146
5.3.3.14-RXN		5.3.3.14-RXN	Trans-D2-decenoyl-ACPs[0] => Cis-delta-3-decenoyl-ACPs[0]	EC-5.3.3.14
RXN-19263		RXN-19263	CPD-20770[0] + OXYGEN-MOLECULE[0] <=> CPD-20773[0] + WATER[0]	-
ACYLAMINOACYL-PEPTIDASE-RXN		ACYLAMINOACYL-PEPTIDASE-RXN	N-Acyl-Peptides[0] + WATER[0] => N-Acylated-Amino-Acids[0] + Peptide-Holder-Alternative[0]	EC-3.4.19.1
