Source	Type	External ID	New ModelSEED ID	Old ModelSEED ID
BiGG	reactions	 or NDC		rxn00470
BiGG	reactions	 or PT		rxn01362
BiGG	reactions	13BGHe	rxn39070	rxn09611
BiGG	reactions	23PDE2pp	rxn19341	rxn02522
BiGG	reactions	23PDE4pp	rxn19340	rxn02762
BiGG	reactions	23PDE7pp	rxn19338	rxn02521
BiGG	reactions	23PDE9pp	rxn19339	rxn03483
BiGG	reactions	2HMHMBQMTm	rxn30325	rxn13186
BiGG	reactions	2HP6MPMOm	rxn30326	rxn03390
BiGG	reactions	2HPMBQMTm	rxn30327	rxn03391
BiGG	reactions	34HPLFM	rxn30328	rxn02392
BiGG	reactions	3DH5HPBMTm	rxn17404	rxn03224
BiGG	reactions	3H2MBCOAD	rxn02933	rxn13419
BiGG	reactions	3HBUTCOAH	rxn03874	rxn13420
BiGG	reactions	3HBUTCOAR	rxn11381	rxn13421
BiGG	reactions	3HCINNMH	rxn29981	rxn04602
BiGG	reactions	3HIBUTD	rxn11393	rxn13422
BiGG	reactions	3HPH5MBDCm	rxn30329	rxn04680
BiGG	reactions	3M2OBLOXRD	rxn30541	rxn01244
BiGG	reactions	3MOPCOAL	rxn17744	rxn02269
BiGG	reactions	3NTD2pp	rxn17767	rxn01367
BiGG	reactions	3NTD4pp	rxn17766	rxn01704
BiGG	reactions	3NTD7pp	rxn17763	rxn01139
BiGG	reactions	3NTD9pp	rxn17765	rxn01549
BiGG	reactions	3OAS160	rxn25647	rxn05344
BiGG	reactions	3OPHB_5tm	rxn09797	rxn13205
BiGG	reactions	42A12BOOXpp	rxn29954	rxn02993
BiGG	reactions	4HGLSDm	rxn30330	rxn03424
BiGG	reactions	4PCP	rxn39043	rxn08007
BiGG	reactions	5DOAN	rxn08013	rxn08013|rxn13649
BiGG	reactions	AACPS10	rxn10658	rxn10658|rxn13650
BiGG	reactions	AACPS11	rxn10752	rxn10752|rxn13651
BiGG	reactions	AACPS6	rxn08019	rxn08019|rxn13656
BiGG	reactions	AACPS7	rxn08020	rxn08020|rxn13657
BiGG	reactions	AACPS8	rxn08021	rxn08019|rxn08021
BiGG	reactions	AACPS9	rxn08022	rxn08022|rxn13658
BiGG	reactions	AACTOOR	rxn29982	rxn01833
BiGG	reactions	AAMYL	rxn09952	rxn08024
BiGG	reactions	AAT1_1	rxn27720	rxn00260
BiGG	reactions	ABUTDm	rxn30209	rxn01851
BiGG	reactions	ACACT1m	rxn19031	rxn00178
