Class	Sub-class	Name	Role	Reaction
-	-	CBSS-155864.1.peg.3753	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	rxn00085
-	-	COG0523	Carbonic anhydrase (EC 4.2.1.1)	rxn00102
-	-	COG0523	Dihydroorotase (EC 3.5.2.3)	rxn01465
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00299
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00302
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03174
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03419
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03421
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn00299
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn00302
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03174
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03419
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03421
-	-	COG0523	LSU ribosomal protein L21p	rxn13782
-	-	COG0523	LSU ribosomal protein L27p	rxn13782
-	-	COG0523	LSU ribosomal protein L28p	rxn13782
-	-	COG0523	LSU ribosomal protein L31p	rxn13782
-	-	COG0523	LSU ribosomal protein L32p	rxn13782
-	-	COG0523	LSU ribosomal protein L33p	rxn13782
-	-	COG0523	LSU ribosomal protein L36p	rxn13782
-	-	COG0523	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	rxn02834
-	-	COG0523	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	rxn02835
-	-	COG0523	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	rxn02834
-	-	COG0523	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	rxn02835
-	-	COG0523	SSU ribosomal protein S14p (S29e)	rxn13782
-	-	COG0523	Thioredoxin reductase (EC 1.8.1.9)	rxn05289
-	-	COG0523	Tryptophan 2-monooxygenase (EC 1.13.12.3)	rxn00479
-	-	COG0523	Uracil phosphoribosyltransferase (EC 2.4.2.9)	rxn00711
-	-	COG0523	Zinc ABC transporter, ATP-binding protein ZnuC	rxn05150
-	-	COG0523	Zinc ABC transporter, inner membrane permease protein ZnuB	rxn05150
-	-	COG0523	Zinc ABC transporter, periplasmic-binding protein ZnuA	rxn05150
-	-	COG0523_and_iron	D-mannonate oxidoreductase (EC 1.1.1.57)	rxn01775
-	-	COG0523_and_iron	Similar to ferrous iron transporter protein B	rxn05555
-	-	ECF_S-components_-_Experimental	Substrate-specific component BioY of biotin ECF transporter	rxn05223
-	-	ECF_S-components_-_Experimental	Substrate-specific component RibU of riboflavin ECF transporter	rxn05645
-	-	ECF_S-components_-_Experimental	Substrate-specific component TrpP of tryptophan ECF transporter	rxn05663
-	-	Nitric_oxide_synthase	Manganese superoxide dismutase (EC 1.15.1.1)	rxn00206
-	-	Nitric_oxide_synthase	Nitric oxide synthase oxygenase (EC 1.-.-.-)	rxn00082
-	-	Nitric_oxide_synthase	Nitric oxide synthase oxygenase (EC 1.-.-.-)	rxn00400
-	-	tRNA_modification_position_37	tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)	rxn13784
Amino Acids and Derivatives	-	Creatine_and_Creatinine_Degradation	Cytosine deaminase (EC 3.5.4.1)	rxn00717
Amino Acids and Derivatives	-	Creatine_and_Creatinine_Degradation	Cytosine deaminase (EC 3.5.4.1)	rxn01025
Amino Acids and Derivatives	-	L-2-amino-thiazoline-4-carboxylic_acid-Lcysteine_conversion	Beta-ureidopropionase (EC 3.5.1.6)	rxn00654
Amino Acids and Derivatives	-	L-2-amino-thiazoline-4-carboxylic_acid-Lcysteine_conversion	Beta-ureidopropionase (EC 3.5.1.6)	rxn03188
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Alanine racemase (EC 5.1.1.1)	rxn00283
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Alanine racemase, biosynthetic (EC 5.1.1.1)	rxn00283
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Alanine racemase, catabolic (EC 5.1.1.1)	rxn00283
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn00806
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn00903
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn01575
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	rxn09310
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Cysteine desulfurase, mitochondrial precursor (EC 2.8.1.7)	rxn07292
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Glutamate-pyruvate aminotransferase (EC 2.6.1.2)	rxn00191
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Valine--pyruvate aminotransferase (EC 2.6.1.66)	rxn00904
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	rxn00274
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	L-threonine 3-dehydrogenase (EC 1.1.1.103)	rxn01068
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	Low-specificity L-threonine aldolase (EC 4.1.2.5)	rxn00541
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn00692
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	rxn00274
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	rxn06600
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Cystathionine beta-synthase (EC 4.2.1.22)	rxn00953
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Cystathionine gamma-lyase (EC 4.4.1.1)	rxn00566
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Cystathionine gamma-lyase (EC 4.4.1.1)	rxn00742
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	rxn01101
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	D-serine dehydratase (EC 4.3.1.18)	rxn00166
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	D-serine/D-alanine/glycine transporter	rxn05307
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	D-serine/D-alanine/glycine transporter	rxn05494
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	D-serine/D-alanine/glycine transporter	rxn05582
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	D-serine/D-alanine/glycine transporter	rxn05649
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	Glycerate kinase (EC 2.7.1.31)	rxn01102
