reaction	atom_mapping_confidence
rxn00001	clean
rxn00002	clean
rxn00003	clean
rxn00004	clean
rxn00006	clean
rxn00007	clean
rxn00008	clean
rxn00009	clean
rxn00010	salvaged
rxn00011	clean
rxn00012	clean
rxn00013	clean
rxn00014	clean
rxn00015	clean
rxn00016	clean
rxn00017	salvaged
rxn00018	salvaged
rxn00019	salvaged
rxn00020	clean
rxn00021	clean
rxn00022	clean
rxn00023	salvaged
rxn00024	clean
rxn00025	clean
rxn00026	clean
rxn00028	clean
rxn00029	clean
rxn00030	clean
rxn00031	salvaged
rxn00032	clean
rxn00033	clean
rxn00034	clean
rxn00035	clean
rxn00036	clean
rxn00037	clean
rxn00038	clean
rxn00039	clean
rxn00040	clean
rxn00041	clean
rxn00042	clean
rxn00043	clean
rxn00044	clean
rxn00045	clean
rxn00046	clean
rxn00047	clean
rxn00048	clean
rxn00050	clean
rxn00051	clean
rxn00052	clean
rxn00053	clean
rxn00054	clean
rxn00055	salvaged
rxn00056	salvaged
rxn00057	clean
rxn00058	clean
rxn00060	clean
rxn00061	clean
rxn00062	clean
rxn00063	clean
rxn00064	clean
rxn00065	clean
rxn00066	clean
rxn00067	clean
rxn00068	salvaged
rxn00069	clean
rxn00070	salvaged
rxn00072	salvaged
rxn00073	clean
rxn00074	salvaged
rxn00075	clean
rxn00076	clean
rxn00077	clean
rxn00078	clean
rxn00080	salvaged
rxn00081	salvaged
rxn00082	clean
rxn00083	clean
rxn00084	clean
rxn00085	clean
rxn00086	salvaged
rxn00087	salvaged
rxn00088	clean
rxn00089	clean
rxn00090	salvaged
rxn00091	clean
rxn00092	clean
rxn00093	clean
rxn00095	clean
rxn00096	clean
rxn00097	clean
rxn00098	clean
rxn00099	clean
rxn00100	clean
rxn00101	clean
rxn00102	clean
rxn00103	salvaged
rxn00104	salvaged
rxn00105	salvaged
rxn00106	clean
rxn00107	clean
rxn00108	clean
rxn00109	clean
rxn00112	clean
rxn00113	clean
rxn00114	clean
rxn00115	salvaged
rxn00116	clean
rxn00117	salvaged
rxn00118	clean
rxn00119	clean
rxn00120	clean
rxn00121	clean
rxn00122	clean
rxn00123	clean
rxn00124	clean
rxn00125	salvaged
rxn00126	salvaged
rxn00127	salvaged
rxn00128	clean
rxn00129	clean
rxn00130	clean
rxn00131	clean
rxn00132	clean
rxn00133	clean
rxn00134	clean
rxn00135	clean
rxn00136	clean
rxn00137	clean
rxn00138	salvaged
rxn00139	clean
rxn00140	clean
rxn00141	clean
rxn00142	clean
rxn00143	clean
rxn00144	clean
rxn00145	clean
rxn00146	clean
rxn00147	salvaged
rxn00148	clean
rxn00149	clean
rxn00150	clean
rxn00151	salvaged
rxn00152	clean
rxn00153	clean
rxn00154	clean
rxn00155	clean
rxn00156	clean
rxn00157	clean
rxn00158	clean
rxn00159	salvaged
rxn00160	salvaged
rxn00161	salvaged
rxn00162	salvaged
rxn00163	salvaged
rxn00164	salvaged
rxn00165	clean
rxn00166	clean
rxn00168	clean
rxn00170	clean
rxn00171	clean
rxn00172	clean
rxn00173	clean
rxn00174	salvaged
rxn00175	salvaged
rxn00176	clean
rxn00177	clean
rxn00178	salvaged
rxn00179	clean
rxn00180	clean
rxn00181	clean
rxn00182	clean
rxn00183	clean
rxn00184	clean
rxn00185	clean
rxn00186	clean
rxn00187	clean
rxn00188	clean
rxn00189	clean
rxn00190	salvaged
rxn00191	clean
rxn00192	clean
rxn00193	clean
rxn00194	salvaged
rxn00195	clean
rxn00196	clean
rxn00197	salvaged
rxn00198	salvaged
rxn00199	salvaged
rxn00200	clean
rxn00201	clean
rxn00202	clean
rxn00203	salvaged
rxn00204	salvaged
rxn00205	salvaged
rxn00206	salvaged
rxn00207	salvaged
rxn00208	clean
rxn00209	clean
rxn00210	clean
rxn00211	clean
rxn00212	clean
rxn00213	clean
rxn00214	clean
rxn00215	clean
rxn00216	clean
rxn00217	clean
rxn00218	clean
rxn00219	clean
rxn00220	clean
rxn00221	clean
rxn00222	clean
rxn00223	clean
rxn00225	clean
rxn00226	clean
rxn00227	clean
rxn00228	clean
rxn00229	clean
rxn00230	clean
rxn00231	clean
rxn00232	clean
rxn00233	clean
rxn00234	clean
rxn00235	clean
rxn00236	clean
rxn00237	clean
rxn00238	salvaged
rxn00239	clean
rxn00240	salvaged
rxn00241	clean
rxn00242	clean
rxn00243	clean
rxn00244	clean
rxn00245	clean
rxn00247	salvaged
rxn00248	clean
rxn00249	clean
rxn00250	clean
rxn00251	clean
rxn00252	clean
rxn00253	clean
rxn00254	clean
rxn00255	clean
rxn00256	clean
rxn00257	clean
rxn00258	salvaged
