# Alberty macroscopic pKa ladders, one row per dissociation step.
# Derived from R. A. Alberty, Thermodynamics of Biochemical Reactions,
# Wiley 2003, doi:10.1002/0471332607, via the BasicBiochemData3
# package. The package itself is not redistributable; these derived
# values are. Regenerate with this script.
seed_id	kind	step	pka_value	tool	tool_version
cpd00002	macroscopic	1	7.5998	Alberty	2003
cpd00002	macroscopic	2	4.6776	Alberty	2003
cpd00008	macroscopic	1	7.1776	Alberty	2003
cpd00008	macroscopic	2	4.3588	Alberty	2003
cpd00009	macroscopic	1	7.2179	Alberty	2003
cpd00010	macroscopic	1	8.3795	Alberty	2003
cpd00012	macroscopic	1	9.4604	Alberty	2003
cpd00012	macroscopic	2	6.7186	Alberty	2003
cpd00012	macroscopic	3	2.2600	Alberty	2003
cpd00012	macroscopic	4	0.8304	Alberty	2003
cpd00013	macroscopic	1	9.2519	Alberty	2003
cpd00018	macroscopic	1	6.7291	Alberty	2003
cpd00018	macroscopic	2	3.9891	Alberty	2003
cpd00029	macroscopic	1	4.7547	Alberty	2003
cpd00036	macroscopic	1	5.6377	Alberty	2003
cpd00036	macroscopic	2	4.2081	Alberty	2003
cpd00048	macroscopic	1	1.9937	Alberty	2003
cpd00061	macroscopic	1	7.0007	Alberty	2003
cpd00068	macroscopic	1	10.0893	Alberty	2003
cpd00068	macroscopic	2	7.5998	Alberty	2003
cpd00072	macroscopic	1	6.2719	Alberty	2003
cpd00075	macroscopic	1	3.2235	Alberty	2003
cpd00078	macroscopic	1	4.2116	Alberty	2003
cpd00079	macroscopic	1	6.4208	Alberty	2003
cpd00080	macroscopic	1	6.6713	Alberty	2003
cpd00081	macroscopic	1	7.2319	Alberty	2003
cpd00090	macroscopic	1	9.5603	Alberty	2003
cpd00090	macroscopic	2	7.1794	Alberty	2003
cpd00101	macroscopic	1	6.6888	Alberty	2003
cpd00103	macroscopic	1	7.1794	Alberty	2003
cpd00103	macroscopic	2	6.6906	Alberty	2003
cpd00106	macroscopic	1	4.6023	Alberty	2003
cpd00106	macroscopic	2	3.0939	Alberty	2003
cpd00114	macroscopic	1	9.6338	Alberty	2003
cpd00114	macroscopic	2	6.7309	Alberty	2003
cpd00128	macroscopic	1	4.1994	Alberty	2003
cpd00130	macroscopic	1	5.2593	Alberty	2003
cpd00137	macroscopic	1	6.3928	Alberty	2003
cpd00137	macroscopic	2	4.7565	Alberty	2003
cpd00169	macroscopic	1	7.5298	Alberty	2003
cpd00180	macroscopic	1	4.2800	Alberty	2003
cpd00182	macroscopic	1	3.4653	Alberty	2003
cpd00209	macroscopic	1	0.4397	Alberty	2003
cpd00290	macroscopic	1	6.6503	Alberty	2003
