inchikey	dG0_prime_kcal	uncertainty_kcal	source_cpd	match_type
FVTCRASFADXXNN-SCRDCRAPSA-L	-142.48972732073915	2.254012217669544	cpd00050	connectivity
PJBQWWHYTVYMLO-LZUUPNLKSA-N	-135.2568814049353	0.6298991334759622	cpd00059	connectivity
WQZGKKKJIJFFOK-SVZMEOIVSA-N	-101.94382392281615	0.15252331341609754	cpd00108	connectivity
ZDXPYRJPNDTMRX-UHFFFAOYSA-N	-27.789650688523515	0.4425913396750416	cpd00253	connectivity
LQXVFWRQNMEDEE-ZZKAVYKESA-N	-84.52791833969674	0.39021309082198624	cpd00258	connectivity
LQXVFWRQNMEDEE-PYHARJCCSA-N	-84.52791833969674	0.39021309082198624	cpd00261	connectivity
OCLOLUFOLJIQDC-ZLUOBGJFSA-N	-76.4636912442721	0.5037415722456634	cpd00370	connectivity
QXKAIJAYHKCRRA-PZGQECOJSA-M	-145.1260678629676	0.28858470166312306	cpd00391	connectivity
LQXVFWRQNMEDEE-QRHDOFTISA-N	-84.52791833969674	0.39021309082198624	cpd00397	connectivity
ZPHBZEQOLSRPAK-SHERONPGSA-L	135.04817294558862	23901.96018242566	cpd00440	connectivity
IHVFHZGGMJDGGZ-VPXVXCNZSA-H	-618.9548991748563	1.8942651261002954	cpd00442	connectivity
OVRNDRQMDRJTHS-ZTVVOAFPSA-N	-66.54163647732962	0.6132503429351298	cpd00492	connectivity
KKZFLSZAWCYPOC-PYHARJCCSA-L	-255.12355468183804	0.4844825997447111	cpd00510	connectivity
CYHOMWAPJJPNMW-JIGDXULJSA-O	37.846391017990044	28224.681811433227	cpd00544	connectivity
HNDVDQJCIGZPNO-UHFFFAOYSA-N	45.35125192218451	0.9811569199048106	cpd00572	connectivity
CWCYSIIDJAVQSK-ZCFIWIBFSA-M	-57.885026976332114	0.32817899913188403	cpd00574	connectivity
RTWVXIIKUFSDJB-ZETCQYMHSA-N	-43.20809094764278	2.803553420872789	cpd00578	connectivity
VPVOXUSPXFPWBN-VKHMYHEASA-N	1.2131315880944384	16173.05755950703	cpd00622	connectivity
JLJLRLWOEMWYQK-SNTJWBGVSA-M	223.78285136175484	23900.57361376673	cpd00640	connectivity
