id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd18000	8-p-Menthen-2-ol	Menth-8-en-2-ol	C10H18O	null	Primary Database	KRCZYMFUWVJCLI-UHFFFAOYSA-N	0	1	0	null	0	164.48	1.75	1:8:18.99	1:8:-1.05	null	null	Name: 1,6-Dihydrocarveol; 2-Methyl-5-(1-methylethenyl)cyclohexanol; 2-methyl-5-(prop-1-en-2-yl)cyclohexanol; 2-methyl-5-isopropenylcyclohexanol; 5-isopropenyl-2-methylcyclohexanol; 6-Methyl-3-isopropenylcyclohexanol; 8-p-Menthen-2-ol; Menth-8-en-2-ol; dihydrocarveol; p-menth-8-en-2-ol|KEGG: C18017	C=C(C)C1CCC(C)C(O)C1	GC|EQ|EQU
cpd18001	p-Menth-8-en-2-one	Menth-8-en-2-one	C10H16O	null	Primary Database	AZOCECCLWFDTAP-UHFFFAOYSA-N	0	1	0	null	0	148.95	1.78		1:8:-7.42	null	null	Name: 2-Methyl-5-(1-methylethenyl)cyclohexanone; 2-methyl-5-(prop-1-en-2-yl)cyclohexanone; 2-methyl-5-isopropenylcyclohexanone; 5-isopropenyl-2-methylcyclohexanone; 8-p-Menthen-2-one; Menth-8-en-2-one; dihydrocarvone; p-Menth-8(9)-en-2-one; p-Menth-8-en-2-one; p-menth-8-en-2-one|KEGG: C18018	C=C(C)C1CCC(C)C(=O)C1	GC|EQ|EQU
cpd18002	1-Hydroxy-p-Menth-8-en-2-one	1-Hydroxymenth-8-en-2-one	C10H16O2	null	Primary Database	JEQLRDRDFLXSHY-UHFFFAOYSA-N	0	1	0	null	0	107.62	1.77	1:12:13.27	1:7:-8.02;1:12:-3.55	null	null	Name: 1-Hydroxy-p-Menth-8-en-2-one; 1-Hydroxy-p-menth-8-en-2-one; 1-Hydroxymenth-8-en-2-one; 1-hydroxy-p-menth-8-en-2-one; 1-hydroxylimonen-2-one; 2-Hydroxy-2-methyl-5-(1-methylethenyl)cyclohexanone; 2-hydroxy-2-methyl-5-(prop-1-en-2-yl)cyclohexanone; 2-hydroxy-5-isopropenyl-2-methylcyclohexanone|KEGG: C18019	C=C(C)C1CCC(C)(O)C(=O)C1	GC|EQ|EQU
cpd18003	p-Menth-8-ene-1,2-diol	Menth-8-ene-1,2-diol	C10H18O2	null	Primary Database	WKZWTZTZWGWEGE-UHFFFAOYSA-N	0	1	0	null	0	123.15	1.74	1:7:13.73;1:12:15.14	1:7:-3.24;1:12:-3.21	null	null	Name: 1,2-Cyclohexanediol, 1-methyl-4-(1-methylethenyl)-; 1-Methyl-4-(1-methylethenyl)-1,2-cyclohexanediol; 1-Methyl-4-(1-methylvinyl)cyclohexane-1,2-diol; 1-methyl-4-(prop-1-en-2-yl)cyclohexane-1,2-diol; Menth-8-ene-1,2-diol; limonene-1,2-diol; p-Menth-8(9)-ene-1,2-diol; p-Menth-8-ene-1,2-diol|KEGG: C18020	C=C(C)C1CCC(C)(O)C(O)C1	GC|EQ|EQU
cpd18004	Pheophorbide a	Pheophorbide a	C35H35N4O5	null	Primary Database	DLFLSSJTFBKJTH-DZPWMRRASA-M	-1	1	0	null	0	10000000.0	10000000.0	1:3:17.61;1:11:16.24;1:35:3.66;1:39:11.73	1:9:4.44;1:19:5.05;1:40:-8.41;1:42:-7.25	null	null	Name: 3-[(3S,4S)-14-ethyl-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-9-vinylphorbin-21-id-3-yl]propanoate; Pheophorbide a; pheide <i>a</i>; pheide a; pheophorbide <i>a</i>; pheophorbide a|AraCyc: CPD-7061|BiGG: phphbda|BrachyCyc: CPD-7061|KEGG: C18021|MetaCyc: CPD-7061	CCC1=C(C)C2=N/C1=C\C1=N/C(=C\c3[nH]c4c(c3C)C(=O)C(C(=O)OC)=C4C3=N/C(=C\2)[C@@H](C)[C@@H]3CCC(=O)[O-])C(CC)=C1C	GC
cpd18005	Red chlorophyll catabolite	Red chlorophyll catabolite	C35H38N4O7	null	Primary Database	AIIBDQBKETUIMV-YSSUGPPCSA-N	0	1	0	null	0	-21.07	6.5	1:3:5.50;1:11:13.56;1:16:18.02;1:19:15.09;1:34:3.92;1:38:12.56	1:3:-7.59;1:9:10.14;1:46:0.13	null	null	Name: (7S,8S,101R)-8-(2-carboxyethyl)-17-ethyl-19-formyl-101-(methoxycarbonyl)-3,7,13,18-tetramethyl-2-vinyl-8,23-dihydro-7H-10,12-ethanobiladiene-ab-1,102(21H)-dione; RCC; Red chlorophyll catabolite; red bilin; red chlorophyll catabolite|AraCyc: CPD-7063|BrachyCyc: CPD-7063|ChlamyCyc: CPD-7063|KEGG: C18022|MetaCyc: CPD-7063	C=CC1=C(C)C(/C=C2\[NH+]=C(C3=c4[nH]/c(=C\c5[nH]c(C=O)c(C)c5CC)c(C)c4C(O)=C3C(=O)OC)[C@@H](CCC(=O)[O-])[C@@H]2C)NC1=O	GC
cpd18006	Sophoraflavanone B	Flavaprenin	C20H20O5	null	Primary Database	LPEPZZAVFJPLNZ-SFHVURJKSA-N	0	1	0	null	0	56.22	2.86	1:7:16.16;1:12:7.69;1:18:9.77;1:19:9.17	1:5:-4.96;1:12:-6.43;1:18:-5.96;1:19:-5.06;1:20:-7.90	null	null	Name: (-)-(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-en-1-yl)chroman-4-one; (-)-(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)chroman-4-one; (-)-(2S)-8-dimethylallylnaringenin; (-)-(2S)-8-prenylnaringenin; (2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-en-1-yl)-2,3-dihydro-4H-chromen-4-one; (S)-8-dimethylallylnaringenin; 8-Prenylnaringenin; 8-dimethylallylnaringenin; 8-prenylnaringenin; Flavaprenin; Sophoraflavanone B; sophoraflavanone B|KEGG: C18023|MetaCyc: CPD-9440|PlantCyc: CPD-9440	CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O	GC|EQ|EQU
cpd18007	Leachianone G	Leachianone G	C20H20O6	null	Primary Database	VBOYLFNGTSLAAZ-SFHVURJKSA-N	0	1	0	null	0	6.97	3.3	1:7:16.30;1:12:7.67;1:18:10.54;1:19:9.55;1:26:8.87	1:5:-4.96;1:12:-6.43;1:18:-5.67;1:19:-5.06;1:20:-7.90;1:26:-5.76	null	null	Name: ()-(2S)-2'-hydroxy-8-prenylnaringenin; (-)-(2S)-2'-hydroxy-8-dimethylallylnaringenin; (-)-(2S)-2-(2,4-dihydroxyphenyl)-5,7-dihydroxy-8-(3-methylbut-2-en-1-yl)-2,3-dihydro-4H-chromen-4-one; (-)-(2S)-5,7-dihydroxy-8-(2-hydroxy-3-methylbut-2-enyl)-2-(4-hydroxyphenyl)chroman-4-one; (2S)-2-(2,4-dihydroxyphenyl)-5,7-dihydroxy-8-(3-methylbut-2-en-1-yl)-2,3-dihydro-4H-chromen-4-one; 2'-hydroxy-8-dimethylallylnaringenin; Leachianone G; leachianone G|KEGG: C18024|MetaCyc: CPD-9442|PlantCyc: CPD-9442	CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O	GC|EQ|EQU
cpd18008	(+)-Menthofuran	(+)-Menthofuran	C10H14O	null	Primary Database	YGWKXXYGDYYFJU-SSDOTTSWSA-N	0	1	0	null	0	22.09	2.23		1:3:-2.63	null	null	Name: (+)-3,9-epoxy-p-mentha-3,8-diene; (+)-Menthofuran; (+)-menthofuran; (6R)-3,6-dimethyl-4,5,6,7-tetrahydro-1-benzofuran; (R)-4,5,6,7-tetrahydro-3,6-dimethylbenzofuran; (R)-Menthofuran; (R)-menthofuran; menthofuran|AraCyc: CPD-4981|CornCyc: CPD-4981|KEGG: C18025|MetaCyc: CPD-4981|PlantCyc: CPD-4981	Cc1coc2c1CC[C@@H](C)C2	GC|EQ
cpd18009	Ethylmalonyl-CoA	Ethylmalonyl-CoA	C26H37N7O19P3S	null	Primary Database	VUGZQVCBBBEZQE-UQCJFRAESA-I	-5	1	0	null	0	-489.03	1.91	1:4:4.00;1:29:3.19;1:39:5.66;1:40:0.90;1:54:0.83	1:46:-1.04;1:48:6.26;1:50:-7.46	null	null	Name: (2<i>S</i>)-ethylmalonyl-CoA; (2S)-2-ethylmalonyl-CoA(5-); (2S)-Ethylmalonyl-CoA; (2S)-ethylmalonyl coenzyme A(5-); (2S)-ethylmalonyl-CoA; (<i>S</i>)-ethylmalonyl-CoA; (S)-2-ethylmalonyl-CoA(5-); (S)-Ethylmalonyl-CoA; (S)-ethylmalonyl coenzyme A(5-); (S)-ethylmalonyl-CoA; (S)-ethylmalonyl-CoA(5-); 3'-phosphonatoadenosine 5'-{3-[(3R)-4-({3-[(2-{[(2S)-2-carboxylatobutanoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-3-hydroxy-2,2-dimethyl-4-oxobutyl] diphosphate}; Ethylmalonyl coenzyme A; Ethylmalonyl-CoA|KEGG: C18026|MetaCyc: CPD-9406	CC[C@@H](C(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	GC|EQ|EQU
