id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd37000	MetaCyc:Seryl-EntF@Charged;ChEBI:144955@Charged	MetaCyc:Seryl-EntF@Charged;ChEBI:144955@Charged		MetaCyc:Seryl-EntF@Charged;ChEBI:144955@Charged	MetaCyc:Seryl-EntF	MetaCyc:Seryl-EntF	GC	MetaCyc:Seryl-EntF@Charged	MetaCyc:Seryl-EntF@Charged	
cpd37001	MetaCyc:RNA-3prime-Uridine-3prime-P	MetaCyc:RNA-3prime-Uridine-3prime-P		MetaCyc:RNA-3prime-Uridine-3prime-P	MetaCyc:RNA-3prime-Uridine-3prime-P	MetaCyc:RNA-3prime-Uridine-3prime-P	GC	MetaCyc:RNA-3prime-Uridine-3prime-P@Charged	MetaCyc:RNA-3prime-Uridine-3prime-P@Charged	
cpd37002	MetaCyc:Protein-N-terminal-5-oxo-prolines	MetaCyc:Protein-N-terminal-5-oxo-prolines		MetaCyc:Protein-N-terminal-5-oxo-prolines	MetaCyc:Protein-N-terminal-5-oxo-prolines	MetaCyc:Protein-N-terminal-5-oxo-prolines	GC	MetaCyc:Protein-N-terminal-5-oxo-prolines@Charged	MetaCyc:Protein-N-terminal-5-oxo-prolines@Charged	
cpd37003	MetaCyc:L-arginyl-3-sulfo-L-alaninyl-Peptides	MetaCyc:L-arginyl-3-sulfo-L-alaninyl-Peptides		MetaCyc:L-arginyl-3-sulfo-L-alaninyl-Peptides	MetaCyc:L-arginyl-3-sulfo-L-alaninyl-Peptides	MetaCyc:L-arginyl-3-sulfo-L-alaninyl-Peptides	GC	MetaCyc:L-arginyl-3-sulfo-L-alaninyl-Peptides@Charged	MetaCyc:L-arginyl-3-sulfo-L-alaninyl-Peptides@Charged	
cpd37004	MetaCyc:OHyWstar-tRNA	MetaCyc:OHyWstar-tRNA		MetaCyc:OHyWstar-tRNA	MetaCyc:OHyWstar-tRNA	MetaCyc:OHyWstar-tRNA	GC	MetaCyc:OHyWstar-tRNA@Charged	MetaCyc:OHyWstar-tRNA@Charged	
cpd37005										
cpd37006	MetaCyc:Coelenterazine-CBP@Charged	MetaCyc:Coelenterazine-CBP@Charged		MetaCyc:Coelenterazine-CBP@Charged		MetaCyc:Coelenterazine-CBP	GC	MetaCyc:Coelenterazine-CBP@Charged	MetaCyc:Coelenterazine-CBP@Charged	
cpd37007	MetaCyc:C34-carboxyphthiodiolenone-PpsAE@Charged;ChEBI:142237@Charged	MetaCyc:C34-carboxyphthiodiolenone-PpsAE@Charged;ChEBI:142237@Charged		MetaCyc:C34-carboxyphthiodiolenone-PpsAE@Charged;ChEBI:142237@Charged	MetaCyc:C34-carboxyphthiodiolenone-PpsAE	MetaCyc:C34-carboxyphthiodiolenone-PpsAE	GC	MetaCyc:C34-carboxyphthiodiolenone-PpsAE@Charged	MetaCyc:C34-carboxyphthiodiolenone-PpsAE@Charged	
cpd37008	MetaCyc:4-Hydroxybenzoyl-pks15@Charged;ChEBI:138321@Charged	MetaCyc:4-Hydroxybenzoyl-pks15@Charged;ChEBI:138321@Charged		MetaCyc:4-Hydroxybenzoyl-pks15@Charged;ChEBI:138321@Charged	MetaCyc:4-Hydroxybenzoyl-pks15	MetaCyc:4-Hydroxybenzoyl-pks15	GC	MetaCyc:4-Hydroxybenzoyl-pks15@Charged	MetaCyc:4-Hydroxybenzoyl-pks15@Charged	
cpd37009	MetaCyc:Omega-methylthio-alkyl-glucosinolates	MetaCyc:Omega-methylthio-alkyl-glucosinolates		MetaCyc:Omega-methylthio-alkyl-glucosinolates	MetaCyc:Omega-methylthio-alkyl-glucosinolates	MetaCyc:Omega-methylthio-alkyl-glucosinolates	GC	MetaCyc:Omega-methylthio-alkyl-glucosinolates@Charged	MetaCyc:Omega-methylthio-alkyl-glucosinolates@Charged	
cpd37010	MetaCyc:DsrC-L-Cysteine@Charged;MetaCyc:Mycoredoxin-Dithiol@Charged	MetaCyc:DsrC-L-Cysteine@Charged;MetaCyc:Mycoredoxin-Dithiol@Charged		MetaCyc:DsrC-L-Cysteine@Charged;MetaCyc:Mycoredoxin-Dithiol@Charged	MetaCyc:DsrC-L-Cysteine	MetaCyc:DsrC-L-Cysteine	GC	MetaCyc:DsrC-L-Cysteine@Charged	MetaCyc:DsrC-L-Cysteine@Charged	
cpd37011										
cpd37012	MetaCyc:2-Me-Branched-234-Sat-FALD	MetaCyc:2-Me-Branched-234-Sat-FALD		MetaCyc:2-Me-Branched-234-Sat-FALD	MetaCyc:2-Me-Branched-234-Sat-FALD	MetaCyc:2-Me-Branched-234-Sat-FALD	GC	MetaCyc:2-Me-Branched-234-Sat-FALD@Charged	MetaCyc:2-Me-Branched-234-Sat-FALD@Charged	
cpd37013	MetaCyc:6-Glc-Protopanaxatriol-ginsenosides	MetaCyc:6-Glc-Protopanaxatriol-ginsenosides		MetaCyc:6-Glc-Protopanaxatriol-ginsenosides	MetaCyc:6-Glc-Protopanaxatriol-ginsenosides	MetaCyc:6-Glc-Protopanaxatriol-ginsenosides	GC	MetaCyc:6-Glc-Protopanaxatriol-ginsenosides@Charged	MetaCyc:6-Glc-Protopanaxatriol-ginsenosides@Charged	
cpd37014	MetaCyc:3-Prime-Nucleoside-Monophosphates	MetaCyc:3-Prime-Nucleoside-Monophosphates		MetaCyc:3-Prime-Nucleoside-Monophosphates	MetaCyc:3-Prime-Nucleoside-Monophosphates	MetaCyc:3-Prime-Nucleoside-Monophosphates	GC	MetaCyc:3-Prime-Nucleoside-Monophosphates@Charged	MetaCyc:3-Prime-Nucleoside-Monophosphates@Charged	
cpd37015	MetaCyc:9Z-3-oxo-octadec-9-enoyl-ACPs@Charged;Override:ACPs	MetaCyc:9Z-3-oxo-octadec-9-enoyl-ACPs@Charged;Override:ACPs		MetaCyc:9Z-3-oxo-octadec-9-enoyl-ACPs@Charged	MetaCyc:9Z-3-oxo-octadec-9-enoyl-ACPs	MetaCyc:9Z-3-oxo-octadec-9-enoyl-ACPs	GC	MetaCyc:9Z-3-oxo-octadec-9-enoyl-ACPs@Charged	MetaCyc:9Z-3-oxo-octadec-9-enoyl-ACPs@Charged	
cpd37016	MetaCyc:tRNA-pseudouridine35@Charged	MetaCyc:tRNA-pseudouridine35@Charged		MetaCyc:tRNA-pseudouridine35@Charged	MetaCyc:tRNA-pseudouridine35	MetaCyc:tRNA-pseudouridine35				
cpd37017	MetaCyc:Man8GlcNAc2-protein-A123B13@Charged;ChEBI:60628@Charged	MetaCyc:Man8GlcNAc2-protein-A123B13@Charged;ChEBI:60628@Charged		MetaCyc:Man8GlcNAc2-protein-A123B13@Charged;ChEBI:60628@Charged	MetaCyc:Man8GlcNAc2-protein-A123B13	MetaCyc:Man8GlcNAc2-protein-A123B13	GC	MetaCyc:Man8GlcNAc2-protein-A123B13@Charged	MetaCyc:Man8GlcNAc2-protein-A123B13@Charged	
cpd37018	MetaCyc:CPD-19484@Charged	MetaCyc:CPD-19484@Charged		MetaCyc:CPD-19484@Charged	MetaCyc:CPD-19484		GC	MetaCyc:CPD-19484@Charged	MetaCyc:CPD-19484@Charged	
cpd37019	MetaCyc:m7G5-pppAm-mRNAs@Charged	MetaCyc:m7G5-pppAm-mRNAs@Charged		MetaCyc:m7G5-pppAm-mRNAs@Charged	MetaCyc:m7G5-pppAm-mRNAs	MetaCyc:m7G5-pppAm-mRNAs	GC	MetaCyc:m7G5-pppAm-mRNAs@Charged	MetaCyc:m7G5-pppAm-mRNAs@Charged	
cpd37020	MetaCyc:LysW-L-ornithine@Charged;ChEBI:136763@Charged	MetaCyc:LysW-L-ornithine@Charged;ChEBI:136763@Charged		MetaCyc:LysW-L-ornithine@Charged;ChEBI:136763@Charged	MetaCyc:LysW-L-ornithine	MetaCyc:LysW-L-ornithine	GC	MetaCyc:LysW-L-ornithine@Charged	MetaCyc:LysW-L-ornithine@Charged	
cpd37021	MetaCyc:Peptidoglycan-With-Cle-Pentagly-Bridges	MetaCyc:Peptidoglycan-With-Cle-Pentagly-Bridges		MetaCyc:Peptidoglycan-With-Cle-Pentagly-Bridges	MetaCyc:Peptidoglycan-With-Cle-Pentagly-Bridges	MetaCyc:Peptidoglycan-With-Cle-Pentagly-Bridges				
cpd37022	MetaCyc:Proteins-With-C-Terminal-Ser@Charged	MetaCyc:Proteins-With-C-Terminal-Ser@Charged		MetaCyc:Proteins-With-C-Terminal-Ser@Charged	MetaCyc:Proteins-With-C-Terminal-Ser	MetaCyc:Proteins-With-C-Terminal-Ser	GC	MetaCyc:Proteins-With-C-Terminal-Ser@Charged	MetaCyc:Proteins-With-C-Terminal-Ser@Charged	
cpd37023	MetaCyc:SSEA4	MetaCyc:SSEA4		MetaCyc:SSEA4	MetaCyc:SSEA4	MetaCyc:SSEA4	GC	MetaCyc:SSEA4@Charged	MetaCyc:SSEA4@Charged	
cpd37024	MetaCyc:RNA-3-Adenosine-23-Cyclophosphate	MetaCyc:RNA-3-Adenosine-23-Cyclophosphate		MetaCyc:RNA-3-Adenosine-23-Cyclophosphate	MetaCyc:RNA-3-Adenosine-23-Cyclophosphate	MetaCyc:RNA-3-Adenosine-23-Cyclophosphate	GC	MetaCyc:RNA-3-Adenosine-23-Cyclophosphate@Charged	MetaCyc:RNA-3-Adenosine-23-Cyclophosphate@Charged	
cpd37025	MetaCyc:Rbo-P-Teichoic-Bacillus-peptidoglycan	MetaCyc:Rbo-P-Teichoic-Bacillus-peptidoglycan		MetaCyc:Rbo-P-Teichoic-Bacillus-peptidoglycan	MetaCyc:Rbo-P-Teichoic-Bacillus-peptidoglycan	MetaCyc:Rbo-P-Teichoic-Bacillus-peptidoglycan	GC	MetaCyc:Rbo-P-Teichoic-Bacillus-peptidoglycan@Charged	MetaCyc:Rbo-P-Teichoic-Bacillus-peptidoglycan@Charged	
cpd37026	MetaCyc:Beta-keto-Tyr-S-NovH@Charged	MetaCyc:Beta-keto-Tyr-S-NovH@Charged		MetaCyc:Beta-keto-Tyr-S-NovH@Charged	MetaCyc:Beta-keto-Tyr-S-NovH	MetaCyc:Beta-keto-Tyr-S-NovH	GC	MetaCyc:Beta-keto-Tyr-S-NovH@Charged	MetaCyc:Beta-keto-Tyr-S-NovH@Charged	
cpd37027	MetaCyc:CPD-17293;ChEBI:88268	MetaCyc:CPD-17293;ChEBI:88268		MetaCyc:CPD-17293;ChEBI:88268		MetaCyc:CPD-17293	GC	MetaCyc:CPD-17293@Charged	MetaCyc:CPD-17293@Charged	
cpd37028	MetaCyc:Protein-Arginine-MGH1@Charged	MetaCyc:Protein-Arginine-MGH1@Charged		MetaCyc:Protein-Arginine-MGH1@Charged	MetaCyc:Protein-Arginine-MGH1	MetaCyc:Protein-Arginine-MGH1	GC	MetaCyc:Protein-Arginine-MGH1@Charged	MetaCyc:Protein-Arginine-MGH1@Charged	
cpd37029	MetaCyc:2E-9Z-octadeca-2-9-dienoyl-ACPs@Charged;Override:ACPs	MetaCyc:2E-9Z-octadeca-2-9-dienoyl-ACPs@Charged;Override:ACPs		MetaCyc:2E-9Z-octadeca-2-9-dienoyl-ACPs@Charged	MetaCyc:2E-9Z-octadeca-2-9-dienoyl-ACPs	MetaCyc:2E-9Z-octadeca-2-9-dienoyl-ACPs	GC	MetaCyc:2E-9Z-octadeca-2-9-dienoyl-ACPs@Charged	MetaCyc:2E-9Z-octadeca-2-9-dienoyl-ACPs@Charged	
cpd37030	MetaCyc:omega-methylsulfinylalkylglucosinolate	MetaCyc:omega-methylsulfinylalkylglucosinolate		MetaCyc:omega-methylsulfinylalkylglucosinolate	MetaCyc:omega-methylsulfinylalkylglucosinolate	MetaCyc:omega-methylsulfinylalkylglucosinolate	GC	MetaCyc:omega-methylsulfinylalkylglucosinolate@Charged	MetaCyc:omega-methylsulfinylalkylglucosinolate@Charged	
