id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	source
rxn35000	R_PAPA1801819Zh	phosphatidate phosphatase (18:0/18:1(9Z)), chloroplast	(1) cpd00001[0] + (1) cpd30422[0] <=> (1) cpd00009[0] + (1) cpd30064[0]	-1:cpd00001:0:"H2O";-1:cpd30422:0:"1-octadecanoyl,2-(9Z)-octadecenoyl-sn-glycerol 3-phosphate";1:cpd00009:0:"Phosphate";1:cpd30064:0:"1,2-Diacyl-sn-glycerol (1-octadecanoyl,2-(9Z)-octadecenoyl, 18:0/18:1(9Z))"	0	(1) cpd00001[0] + (1) cpd30422[0] <=> (1) cpd00009[0] + (1) cpd30064[0]	(1) H2O[0] + (1) 1-octadecanoyl,2-(9Z)-octadecenoyl-sn-glycerol 3-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-Diacyl-sn-glycerol (1-octadecanoyl,2-(9Z)-octadecenoyl, 18:0/18:1(9Z))[0]	?	null	null	JP_Creinhardtii_MSB: R_PAPA1801819Z; R_PAPA1801819Zh|Name: phosphatidate phosphatase (18:0/18:1(9Z))	null	10000000.0	10000000.0	cpd00001;cpd00009;cpd30064;cpd30422	CPDFORMERROR	1	rxn34999	GCP|EQP	Published Model
rxn35001	R_PAPA181	phosphatidate phosphatase (18:1(11Z)/18:1(11Z))	(1) cpd00001[0] + (1) cpd30429[0] <=> (1) cpd00009[0] + (1) cpd30067[0]	-1:cpd00001:0:"H2O";-1:cpd30429:0:"1-(11Z)-octadecenoyl,2-(11Z)-octadecenoyl-sn-glycerol 3-phosphate";1:cpd00009:0:"Phosphate";1:cpd30067:0:"1,2-Diacyl-sn-glycerol (1,2-di-(11Z)-octadecenoyl, 18:1(11Z)/18:1(11Z))"	0	(1) cpd00001[0] + (1) cpd30429[0] <=> (1) cpd00009[0] + (1) cpd30067[0]	(1) H2O[0] + (1) 1-(11Z)-octadecenoyl,2-(11Z)-octadecenoyl-sn-glycerol 3-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-Diacyl-sn-glycerol (1,2-di-(11Z)-octadecenoyl, 18:1(11Z)/18:1(11Z))[0]	?	null	null	JP_Creinhardtii_MSB: R_PAPA181|Name: phosphatidate phosphatase (18:1(11Z)/18:1(11Z))	null	10000000.0	10000000.0	cpd00001;cpd00009;cpd30067;cpd30429	CPDFORMERROR	0	null	GCP|EQP	Published Model
rxn35002	R_PAPA18111Z160h	phosphatidate phosphatase (18:1(11Z)/16:0)	(1) cpd00001[0] + (1) cpd30427[0] <=> (1) cpd00009[0] + (1) cpd30066[0]	-1:cpd00001:0:"H2O";-1:cpd30427:0:"1-(11Z)-octadecenoyl,2-hexadecanoyl-sn-glycerol 3-phosphate";1:cpd00009:0:"Phosphate";1:cpd30066:0:"1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-hexadecanoyl, 18:1(11Z)/16:0)"	0	(1) cpd00001[0] + (1) cpd30427[0] <=> (1) cpd00009[0] + (1) cpd30066[0]	(1) H2O[0] + (1) 1-(11Z)-octadecenoyl,2-hexadecanoyl-sn-glycerol 3-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-hexadecanoyl, 18:1(11Z)/16:0)[0]	?	null	null	JP_Creinhardtii_MSB: R_PAPA18111Z160h|Name: phosphatidate phosphatase (18:1(11Z)/16:0)	null	10000000.0	10000000.0	cpd00001;cpd00009;cpd30066;cpd30427	CPDFORMERROR	0	null	GCP|EQP	Published Model
rxn35003	R_PAPA18111Z1819Z	phosphatidate phosphatase (18:1(11Z)/18:1(9Z))	(1) cpd00001[0] + (1) cpd30430[0] <=> (1) cpd00009[0] + (1) cpd30068[0]	-1:cpd00001:0:"H2O";-1:cpd30430:0:"1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl-sn-glycerol 3-phosphate";1:cpd00009:0:"Phosphate";1:cpd30068:0:"1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl, 18:1(11Z)/18:1(9Z))"	0	(1) cpd00001[0] + (1) cpd30430[0] <=> (1) cpd00009[0] + (1) cpd30068[0]	(1) H2O[0] + (1) 1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl-sn-glycerol 3-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl, 18:1(11Z)/18:1(9Z))[0]	?	null	null	JP_Creinhardtii_MSB: R_PAPA18111Z1819Z; R_PAPA18111Z1819Zh|Name: phosphatidate phosphatase (18:1(11Z)/18:1(9Z))	null	10000000.0	10000000.0	cpd00001;cpd00009;cpd30068;cpd30430	CPDFORMERROR	0	rxn35004	GCP|EQP	Published Model
rxn35004	R_PAPA18111Z1819Zh	phosphatidate phosphatase (18:1(11Z)/18:1(9Z)), chloroplast	(1) cpd00001[0] + (1) cpd30430[0] <=> (1) cpd00009[0] + (1) cpd30068[0]	-1:cpd00001:0:"H2O";-1:cpd30430:0:"1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl-sn-glycerol 3-phosphate";1:cpd00009:0:"Phosphate";1:cpd30068:0:"1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl, 18:1(11Z)/18:1(9Z))"	0	(1) cpd00001[0] + (1) cpd30430[0] <=> (1) cpd00009[0] + (1) cpd30068[0]	(1) H2O[0] + (1) 1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl-sn-glycerol 3-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl, 18:1(11Z)/18:1(9Z))[0]	?	null	null	JP_Creinhardtii_MSB: R_PAPA18111Z1819Z; R_PAPA18111Z1819Zh|Name: phosphatidate phosphatase (18:1(11Z)/18:1(9Z))	null	10000000.0	10000000.0	cpd00001;cpd00009;cpd30068;cpd30430	CPDFORMERROR	1	rxn35003	GCP|EQP	Published Model
rxn35005	R_PAPA1819Z160h	phosphatidate phosphatase (18:1(9Z)/16:0)	(1) cpd00001[0] + (1) cpd30435[0] <=> (1) cpd00009[0] + (1) cpd30070[0]	-1:cpd00001:0:"H2O";-1:cpd30435:0:"1-(9Z)-octadecenoyl,2-hexadecanoyl-sn-glycerol 3-phosphate";1:cpd00009:0:"Phosphate";1:cpd30070:0:"1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-hexadecanoyl, 18:1(9Z)/16:0)"	0	(1) cpd00001[0] + (1) cpd30435[0] <=> (1) cpd00009[0] + (1) cpd30070[0]	(1) H2O[0] + (1) 1-(9Z)-octadecenoyl,2-hexadecanoyl-sn-glycerol 3-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-hexadecanoyl, 18:1(9Z)/16:0)[0]	?	null	null	JP_Creinhardtii_MSB: R_PAPA1819Z160h|Name: phosphatidate phosphatase (18:1(9Z)/16:0)	null	10000000.0	10000000.0	cpd00001;cpd00009;cpd30070;cpd30435	CPDFORMERROR	0	null	GCP|EQP	Published Model
rxn35006	R_PAPA1819Z1619Zh	phosphatidate phosphatase (18:1(9Z)/16:1(9Z))	(1) cpd00001[0] + (1) cpd30437[0] <=> (1) cpd00009[0] + (1) cpd30071[0]	-1:cpd00001:0:"H2O";-1:cpd30437:0:"1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl-sn-glycerol 3-phosphate";1:cpd00009:0:"Phosphate";1:cpd30071:0:"1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl, 18:1(9Z)/16:1(9Z))"	0	(1) cpd00001[0] + (1) cpd30437[0] <=> (1) cpd00009[0] + (1) cpd30071[0]	(1) H2O[0] + (1) 1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl-sn-glycerol 3-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl, 18:1(9Z)/16:1(9Z))[0]	?	null	null	JP_Creinhardtii_MSB: R_PAPA1819Z1619Zh|Name: phosphatidate phosphatase (18:1(9Z)/16:1(9Z))	null	10000000.0	10000000.0	cpd00001;cpd00009;cpd30071;cpd30437	CPDFORMERROR	0	null	GCP|EQP	Published Model
rxn35007	R_PAPA1819Z18111Z	phosphatidate phosphatase (18:1(9Z)/18:1(11Z))	(1) cpd00001[0] + (1) cpd30438[0] <=> (1) cpd00009[0] + (1) cpd30072[0]	-1:cpd00001:0:"H2O";-1:cpd30438:0:"1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl-sn-glycerol 3-phosphate";1:cpd00009:0:"Phosphate";1:cpd30072:0:"1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl, 18:1(9Z)/18:1(11Z))"	0	(1) cpd00001[0] + (1) cpd30438[0] <=> (1) cpd00009[0] + (1) cpd30072[0]	(1) H2O[0] + (1) 1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl-sn-glycerol 3-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl, 18:1(9Z)/18:1(11Z))[0]	?	null	null	JP_Creinhardtii_MSB: R_PAPA1819Z18111Z; R_PAPA1819Z18111Zh|Name: phosphatidate phosphatase (18:1(9Z)/18:1(11Z))	null	10000000.0	10000000.0	cpd00001;cpd00009;cpd30072;cpd30438	CPDFORMERROR	0	rxn35008	GCP|EQP	Published Model
rxn35008	R_PAPA1819Z18111Zh	phosphatidate phosphatase (18:1(9Z)/18:1(11Z)), chloroplast	(1) cpd00001[0] + (1) cpd30438[0] <=> (1) cpd00009[0] + (1) cpd30072[0]	-1:cpd00001:0:"H2O";-1:cpd30438:0:"1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl-sn-glycerol 3-phosphate";1:cpd00009:0:"Phosphate";1:cpd30072:0:"1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl, 18:1(9Z)/18:1(11Z))"	0	(1) cpd00001[0] + (1) cpd30438[0] <=> (1) cpd00009[0] + (1) cpd30072[0]	(1) H2O[0] + (1) 1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl-sn-glycerol 3-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl, 18:1(9Z)/18:1(11Z))[0]	?	null	null	JP_Creinhardtii_MSB: R_PAPA1819Z18111Z; R_PAPA1819Z18111Zh|Name: phosphatidate phosphatase (18:1(9Z)/18:1(11Z))	null	10000000.0	10000000.0	cpd00001;cpd00009;cpd30072;cpd30438	CPDFORMERROR	1	rxn35007	GCP|EQP	Published Model
rxn35009	R_PAPA1819Z1819Z	phosphatidate phosphatase (18:1(9Z)/18:1(9Z))	(1) cpd00001[0] + (1) cpd30440[0] <=> (1) cpd00009[0] + (1) cpd30074[0]	-1:cpd00001:0:"H2O";-1:cpd30440:0:"1,2-di-(9Z)-octadecenoyl-sn-glycerol 3-phosphate";1:cpd00009:0:"Phosphate";1:cpd30074:0:"1,2-Diacyl-sn-glycerol (1,2-di-(9Z)-octadecenoyl, 18:1(9Z)/18:1(9Z))"	0	(1) cpd00001[0] + (1) cpd30440[0] <=> (1) cpd00009[0] + (1) cpd30074[0]	(1) H2O[0] + (1) 1,2-di-(9Z)-octadecenoyl-sn-glycerol 3-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-Diacyl-sn-glycerol (1,2-di-(9Z)-octadecenoyl, 18:1(9Z)/18:1(9Z))[0]	?	null	null	JP_Creinhardtii_MSB: R_PAPA1819Z1819Z; R_PAPA1819Z1819Zh|Name: phosphatidate phosphatase (18:1(9Z)/18:1(9Z))	null	10000000.0	10000000.0	cpd00001;cpd00009;cpd30074;cpd30440	CPDFORMERROR	0	rxn35010	GCP|EQP	Published Model
