ID	NAMES	EQUATION	TRANSPORT	ADJUSTED	MATCH	COMPLETE	MODELSEED	MS DEFINITION
0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0025(cpd00221)[0] (2) 0709(cpd00109)[1] => (2) 0710(cpd00110)[1] 1399(cpd00020)[0]	Y	N	N	Y	frxn00001	
0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0027(cpd00221)[0] (2) 0709(cpd00109)[0] => (2) 0710(cpd00110)[0] 1401(cpd00020)[0]	N	N	Y	Y	rxn00146	(2) Cytochrome c3+[0] + (1) D-Lactate[0] <=> (1) Pyruvate[0] + (2) H+[0] + (2) Cytochrome c2+[0]
0003	(R,R)-butanediol dehydrogenase	0035(cpd01947)[0] 1198(cpd00003)[0] => 0020(cpd19008)[0] 0794(cpd00067)[0] 1203(cpd00004)[0]	N	N	Y	Y	rxn39373	(1) NAD[0] + (1) BDOH[0] <=> (1) NADH[0] + (1) H+[0] + (1) (R)-Acetoin[0]
0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	0063(cpd00159)[0] (2) 0709(cpd00109)[1] => (2) 0710(cpd00110)[1] 1399(cpd00020)[0]	Y	N	N	Y	frxn00002	
0005	1,3-beta-glucan synthase	1543(cpd00026)[0] => 0001(cpd11791)[1] 0794(cpd00067)[0] 1538(cpd00014)[0]	Y	N	N	Y	frxn00003	
0006	1,6-beta-glucan synthase	1543(cpd00026)[0] => 0004(cpd12121)[1] 0794(cpd00067)[0] 1538(cpd00014)[0]	Y	N	N	Y	frxn00004	
0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	0077(cpd02979)[0] => 0312(cpd02991)[0]	N	N	Y	Y	rxn03175	(1) phosphoribosylformiminoaicar-phosphate[0] <= (1) phosphoribulosylformimino-AICAR-phosphate[0]
0012	1-pyrroline-5-carboxylate dehydrogenase	0119(cpd02651)[0] (2) 0807(cpd00001)[0] 1200(cpd00003)[0] => 0799(cpd00067)[0] 0993(cpd00023)[0] 1205(cpd00004)[0]	N	N	N	Y	frxn00005	
0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	0311(cpd11295)[0] (3) 0803(cpd00001)[0] => 0294(cpd00869)[0] 0722(cpd00047)[0] (6) 0794(cpd00067)[0] 1322(cpd00009)[0]	N	N	Y	Y	rxn10075	(3) H2O[0] + (1) 2,3-diketo5-methylthio-1-phosphopentane[0] => (1) Phosphate[0] + (1) Formate[0] + (6) H+[0] + (1) 4-methylthio 2-oxobutyrate[0]
0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	0142[0] 0794(cpd00067)[0] 0803(cpd00001)[0] => 0313(cpd02720)[0] 0419(cpd19013)[0]	N	N	N	N	frxn00006	
0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	0141(cpd00957)[0] 0794(cpd00067)[0] 1212(cpd00005)[0] => 0142[0] 1207(cpd00006)[0]	N	N	N	N	frxn00007	
0016	2-aceto-2-hydroxybutanoate synthase	0179(cpd00094)[0] 0799(cpd00067)[0] 1401(cpd00020)[0] => 0039(cpd19045)[0] 0460(cpd00011)[0]	N	N	Y	Y	rxn30333	(1) Pyruvate[0] + (1) H+[0] + (1) 2-Oxobutyrate[0] => (1) CO2[0] + (1) (S)-2-Aceto-2-hydroxybutanoate[0]
0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0148(cpd00954)[0] 0437(cpd00002)[0] => 0006(cpd02920)[0] 0424(cpd00018)[0] 0799(cpd00067)[0]	N	N	Y	Y	rxn02503	(1) ATP[0] + (1) 6-hydroxymethyl dihydropterin[0] => (1) AMP[0] + (2) H+[0] + (1) 2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate[0]
0018	2-aminoadipate transaminase	0176(cpd00269)[0] 0991(cpd00023)[0] => 0180(cpd00024)[0] 0953(cpd00705)[0]	N	N	Y	Y	rxn01423	(1) 2-Oxoglutarate[0] + (1) L-2-Aminoadipate[0] <=> (1) L-Glutamate[0] + (1) 2-Oxoadipate[0]
0019	2-dehydropantoate 2-reductase	0149(cpd00712)[0] 0794(cpd00067)[0] 1212(cpd00005)[0] => 0030(cpd00408)[0] 1207(cpd00006)[0]	N	N	Y	Y	rxn01790	(1) NADP[0] + (1) Pantoate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2-Dehydropantoate[0]
0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0552(cpd00236)[0] 0807(cpd00001)[0] 1361(cpd00061)[0] => 0350(cpd02857)[0] 1326(cpd00009)[0]	N	N	Y	Y	rxn01332	(1) H2O[0] + (1) Phosphoenolpyruvate[0] + (1) D-Erythrose4-phosphate[0] => (1) Phosphate[0] + (1) DAHP[0]
0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	0155(cpd03440)[0] 1419(cpd00017)[0] => 0156(cpd03441)[0] 0799(cpd00067)[0] 1415(cpd00019)[0]	N	N	Y	Y	rxn03391	(1) S-Adenosyl-L-methionine[0] + (1) 2-Hexaprenyl-6-methoxy-1,4-benzoquinone[0] => (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone[0]
0022	2-hexaprenyl-6-methoxyphenol monooxygenase	0157(cpd03439)[0] 1278(cpd00007)[0] => 0155(cpd03440)[0] 0807(cpd00001)[0]	N	N	Y	Y	rxn03390	(1) O2[0] + (1) 2-Hexaprenyl-6-methoxyphenol[0] => (1) H2O[0] + (1) 2-Hexaprenyl-6-methoxy-1,4-benzoquinone[0]
0023	2-isopropylmalate hydratase	0165(cpd01710)[0] 0803(cpd00001)[0] => 0162(cpd01646)[0]	N	N	Y	Y	rxn02789	(1) 2-Isopropylmalate[0] <=> (1) H2O[0] + (1) 2-Isopropylmaleate[0]
0024	2-isopropylmalate synthase	0232(cpd00123)[0] 0373(cpd00022)[0] 0803(cpd00001)[0] => 0162(cpd01646)[0] 0529(cpd00010)[0] 0794(cpd00067)[0]	N	N	Y	Y	rxn00902	(1) CoA[0] + (1) H+[0] + (1) 2-Isopropylmalate[0] <= (1) H2O[0] + (1) Acetyl-CoA[0] + (1) 3-Methyl-2-oxobutanoate[0]
