ID	Name	Reversible	Reactants	Products	E.C.	Pathway
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	false	s_0025__91__c__93__[1];s_0709__91__m__93__[2];	s_0710__91__m__93__[2];s_1399__91__c__93__[1];			
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	false	s_0027__91__m__93__[1];s_0709__91__m__93__[2];	s_0710__91__m__93__[2];s_1401__91__m__93__[1];			
r_0003	(R,R)-butanediol dehydrogenase	true	s_0035__91__c__93__[1];s_1198__91__c__93__[1];	s_0020__91__c__93__[1];s_0794__91__c__93__[1];s_1203__91__c__93__[1];			
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	false	s_0063__91__c__93__[1];s_0709__91__m__93__[2];	s_0710__91__m__93__[2];s_1399__91__c__93__[1];			
r_0005	1,3-beta-glucan synthase	false	s_1543__91__c__93__[1];	s_0001__91__ce__93__[1];s_0794__91__c__93__[1];s_1538__91__c__93__[1];			
r_0006	1,6-beta-glucan synthase	false	s_1543__91__c__93__[1];	s_0004__91__ce__93__[1];s_0794__91__c__93__[1];s_1538__91__c__93__[1];			
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	false	s_0077__91__c__93__[1];	s_0312__91__c__93__[1];			
r_0012	1-pyrroline-5-carboxylate dehydrogenase	true	s_0119__91__m__93__[1];s_0807__91__m__93__[2];s_1200__91__m__93__[1];	s_0799__91__m__93__[1];s_0993__91__m__93__[1];s_1205__91__m__93__[1];			
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	false	s_0311__91__c__93__[1];s_0803__91__c__93__[3];	s_0294__91__c__93__[1];s_0722__91__c__93__[1];s_0794__91__c__93__[6];s_1322__91__c__93__[1];			
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	false	s_0142__91__c__93__[1];s_0794__91__c__93__[1];s_0803__91__c__93__[1];	s_0313__91__c__93__[1];s_0419__91__c__93__[1];			
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	false	s_0141__91__c__93__[1];s_0794__91__c__93__[1];s_1212__91__c__93__[1];	s_0142__91__c__93__[1];s_1207__91__c__93__[1];			
r_0016	2-aceto-2-hydroxybutanoate synthase	false	s_0179__91__m__93__[1];s_0799__91__m__93__[1];s_1401__91__m__93__[1];	s_0039__91__m__93__[1];s_0460__91__m__93__[1];			
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	false	s_0148__91__m__93__[1];s_0437__91__m__93__[1];	s_0006__91__m__93__[1];s_0424__91__m__93__[1];s_0799__91__m__93__[1];			
r_0018	2-aminoadipate transaminase	true	s_0176__91__c__93__[1];s_0991__91__c__93__[1];	s_0180__91__c__93__[1];s_0953__91__c__93__[1];			
r_0019	2-dehydropantoate 2-reductase	false	s_0149__91__c__93__[1];s_0794__91__c__93__[1];s_1212__91__c__93__[1];	s_0030__91__c__93__[1];s_1207__91__c__93__[1];			
r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	false	s_0552__91__m__93__[1];s_0807__91__m__93__[1];s_1361__91__m__93__[1];	s_0350__91__m__93__[1];s_1326__91__m__93__[1];			
r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	false	s_0155__91__m__93__[1];s_1419__91__m__93__[1];	s_0156__91__m__93__[1];s_0799__91__m__93__[1];s_1415__91__m__93__[1];			
r_0022	2-hexaprenyl-6-methoxyphenol monooxygenase	false	s_0157__91__m__93__[1];s_1278__91__m__93__[1];	s_0155__91__m__93__[1];s_0807__91__m__93__[1];			
r_0023	2-isopropylmalate hydratase	true	s_0165__91__c__93__[1];s_0803__91__c__93__[1];	s_0162__91__c__93__[1];			
r_0024	2-isopropylmalate synthase	false	s_0232__91__c__93__[1];s_0373__91__c__93__[1];s_0803__91__c__93__[1];	s_0162__91__c__93__[1];s_0529__91__c__93__[1];s_0794__91__c__93__[1];			
r_0025	2-isopropylmalate synthase	false	s_0233__91__m__93__[1];s_0376__91__m__93__[1];s_0807__91__m__93__[1];	s_0164__91__m__93__[1];s_0532__91__m__93__[1];s_0799__91__m__93__[1];			
r_0026	2-keto-4-methylthiobutyrate transamination	false	s_0294__91__c__93__[1];s_0991__91__c__93__[1];	s_0180__91__c__93__[1];s_1029__91__c__93__[1];			
r_0027	2-methylcitrate dehydratase	true	s_0834__91__m__93__[1];	s_0454__91__m__93__[1];s_0807__91__m__93__[1];			
r_0028	2-methylcitrate synthase	false	s_0807__91__m__93__[1];s_1273__91__m__93__[1];s_1382__91__m__93__[1];	s_0174__91__m__93__[1];s_0532__91__m__93__[1];s_0799__91__m__93__[1];			
r_0029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	false	s_0010__91__c__93__[1];s_0794__91__c__93__[1];	s_0291__91__c__93__[1];s_0456__91__c__93__[1];			
r_0030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	false	s_0011__91__m__93__[1];s_0799__91__m__93__[1];	s_0292__91__m__93__[1];s_0460__91__m__93__[1];			
r_0032	3',5'-bisphosphate nucleotidase	false	s_0390__91__c__93__[1];s_0803__91__c__93__[1];	s_0423__91__c__93__[1];s_1322__91__c__93__[1];			
r_0033	3',5'-cyclic-nucleotide phosphodiesterase	false	s_0192__91__c__93__[1];s_0803__91__c__93__[1];	s_0423__91__c__93__[1];s_0794__91__c__93__[1];			
r_0034	3',5'-cyclic-nucleotide phosphodiesterase	false	s_0194__91__c__93__[1];s_0803__91__c__93__[1];	s_0584__91__c__93__[1];s_0794__91__c__93__[1];			
r_0035	3',5'-cyclic-nucleotide phosphodiesterase	false	s_0196__91__c__93__[1];s_0803__91__c__93__[1];	s_0794__91__c__93__[1];s_0849__91__c__93__[1];			
r_0036	3',5'-cyclic-nucleotide phosphodiesterase	false	s_0195__91__c__93__[1];s_0803__91__c__93__[1];	s_0782__91__c__93__[1];s_0794__91__c__93__[1];			
r_0037	3',5'-cyclic-nucleotide phosphodiesterase	false	s_0193__91__c__93__[1];s_0803__91__c__93__[1];	s_0526__91__c__93__[1];s_0794__91__c__93__[1];			
r_0038	3,4-dihydroxy-2-butanone-4-phosphate synthase	false	s_0577__91__c__93__[1];	s_0158__91__c__93__[1];s_0722__91__c__93__[1];s_0794__91__c__93__[1];			
r_0039	3-dehydroquinate dehydratase	false	s_0210__91__c__93__[1];	s_0211__91__c__93__[1];s_0803__91__c__93__[1];			
r_0040	3-dehydroquinate synthase	false	s_0349__91__c__93__[1];	s_0210__91__c__93__[1];s_1322__91__c__93__[1];			
r_0041	3-dehydrosphinganine reductase	false	s_0231__91__er__93__[1];s_0795__91__er__93__[2];s_1213__91__er__93__[1];	s_1208__91__er__93__[1];s_1445__91__er__93__[1];			
r_0042	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	false	s_0551__91__c__93__[1];s_0803__91__c__93__[1];s_1360__91__c__93__[1];	s_0349__91__c__93__[1];s_1322__91__c__93__[1];			
r_0043	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	false	s_0215__91__c__93__[1];s_1275__91__c__93__[0.5];	s_0212__91__c__93__[1];			
r_0044	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	false	s_0214__91__m__93__[1];s_0799__91__m__93__[1];	s_0157__91__m__93__[1];s_0460__91__m__93__[1];			
r_0045	3-hydroxy-L-kynurenine hydrolase	false	s_0222__91__c__93__[1];s_0803__91__c__93__[1];	s_0224__91__c__93__[1];s_0955__91__c__93__[1];			
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	false	s_0054__91__p__93__[1];s_1202__91__p__93__[1];	s_0257__91__p__93__[1];s_0801__91__p__93__[1];s_1206__91__p__93__[1];			
r_0058	3-hydroxyanthranilate 3,4-dioxygenase	false	s_0224__91__c__93__[1];s_1275__91__c__93__[1];	s_0147__91__c__93__[1];s_0794__91__c__93__[1];			
r_0059	3-isopropylmalate 3-methyltransferase	false	s_0009__91__c__93__[1];s_1416__91__c__93__[1];	s_0217__91__c__93__[1];s_1413__91__c__93__[1];			
r_0060	3-isopropylmalate dehydratase	true	s_0009__91__c__93__[1];	s_0165__91__c__93__[1];s_0803__91__c__93__[1];			
r_0061	3-isopropylmalate dehydrogenase	false	s_0009__91__c__93__[1];s_1198__91__c__93__[1];	s_0010__91__c__93__[1];s_0794__91__c__93__[1];s_1203__91__c__93__[1];			
r_0062	3-methyl-2-oxobutanoate decarboxylase	false	s_0232__91__c__93__[1];s_0794__91__c__93__[1];	s_0456__91__c__93__[1];s_0937__91__c__93__[1];			
r_0063	3-methyl-2-oxobutanoate hydroxymethyltransferase	false	s_0233__91__m__93__[1];s_0307__91__m__93__[1];s_0807__91__m__93__[1];	s_0150__91__m__93__[1];s_1488__91__m__93__[1];			
r_0064	3-methyl-2-oxopentanoate decarboxylase	false	s_0056__91__c__93__[1];s_0794__91__c__93__[1];	s_0166__91__c__93__[1];s_0456__91__c__93__[1];			
r_0065	3-phosphoshikimate 1-carboxyvinyltransferase	false	s_0261__91__c__93__[1];s_1360__91__c__93__[1];	s_0324__91__c__93__[1];s_1322__91__c__93__[1];			
r_0066	4-amino-4-deoxychorismate synthase	false	s_0515__91__c__93__[1];s_0999__91__c__93__[1];	s_0269__91__c__93__[1];s_0991__91__c__93__[1];			
r_0067	4-aminobenzoate synthase	false	s_0269__91__c__93__[1];	s_0271__91__c__93__[1];s_0794__91__c__93__[1];s_1399__91__c__93__[1];			
r_0068	4-aminobutyrate transaminase	false	s_0180__91__c__93__[1];s_0734__91__c__93__[1];	s_0991__91__c__93__[1];s_1461__91__c__93__[1];			
r_0069	4-hydroxy-L-threonine synthase	false	s_0264__91__c__93__[1];s_0803__91__c__93__[1];	s_0285__91__c__93__[1];s_1322__91__c__93__[1];			
r_0070	4-hydroxybenzoate formation	false	s_0290__91__m__93__[1];s_0807__91__m__93__[1];	s_0287__91__m__93__[1];s_0532__91__m__93__[1];s_0799__91__m__93__[1];			
r_0072	4-methyl-2-oxopentanoate decarboxylase	false	s_0291__91__c__93__[1];s_0794__91__c__93__[1];	s_0234__91__c__93__[1];s_0456__91__c__93__[1];			
r_0073	4PP-IP5 depyrophosphorylation to IP6	true	s_0279__91__c__93__[1];s_0803__91__c__93__[1];	s_0794__91__c__93__[2];s_1158__91__c__93__[1];s_1322__91__c__93__[1];			
r_0074	4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	false	s_0279__91__c__93__[1];s_0434__91__c__93__[1];s_0794__91__c__93__[2];	s_0263__91__c__93__[1];s_0394__91__c__93__[1];s_0803__91__c__93__[1];			
r_0075	5'-methylthioadenosine phosphorylase	false	s_0303__91__c__93__[1];s_1322__91__c__93__[1];	s_0383__91__c__93__[1];s_1422__91__c__93__[1];			
r_0076	5'-nucleotidase (CMP)	false	s_0526__91__c__93__[1];s_0803__91__c__93__[1];	s_0543__91__c__93__[1];s_1322__91__c__93__[1];			
r_0077	5'-nucleotidase (IMP)	false	s_0803__91__c__93__[1];s_0849__91__c__93__[1];	s_0856__91__c__93__[1];s_1322__91__c__93__[1];			
r_0078	5'-nucleotidase (UMP)	false	s_0803__91__c__93__[1];s_1545__91__c__93__[1];	s_1322__91__c__93__[1];s_1556__91__c__93__[1];			
r_0079	5'-phosphoribosylformyl glycinamidine synthetase	false	s_0301__91__c__93__[1];s_0434__91__c__93__[1];s_0803__91__c__93__[1];s_0999__91__c__93__[1];	s_0302__91__c__93__[1];s_0394__91__c__93__[1];s_0794__91__c__93__[1];s_0991__91__c__93__[1];s_1322__91__c__93__[1];			
r_0080	5,10-methylenetetrahydrofolate reductase (NADPH)	false	s_0306__91__c__93__[1];s_0794__91__c__93__[2];s_1212__91__c__93__[1];	s_0322__91__c__93__[1];s_1207__91__c__93__[1];			
r_0081	5-aminolevulinate synthase	false	s_0799__91__m__93__[1];s_1005__91__m__93__[1];s_1464__91__m__93__[1];	s_0317__91__m__93__[1];s_0460__91__m__93__[1];s_0532__91__m__93__[1];			
r_0082	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase	false	s_0318__91__c__93__[1];s_0803__91__c__93__[1];	s_0794__91__c__93__[2];s_1158__91__c__93__[1];s_1322__91__c__93__[1];			
