ID	NAMES	EQUATION	TRANSPORT	ADJUSTED	MATCH	COMPLETE	MODELSEED	MS DEFINITION
13BGH	Endo-1,3-beta-glucan glucohydrase	13BDglcn(cpd11791)[0] h2o(cpd00001)[0] => glc-D(cpd00027)[0]	N	N	Y	Y	rxn09611	(1) H2O[0] + (1) 1,3-beta-Glucan[0] <=> (1) D-Glucose[0]
13BGHe	Exo-1,3-beta-glucan glucohydrase	13BDglcn(cpd11791)[0] h2o(cpd00001)[0] => glc-D(cpd00027)[0]	N	N	Y	Y	rxn09611	(1) H2O[0] + (1) 1,3-beta-Glucan[0] <=> (1) D-Glucose[0]
13GS	1,3-beta-glucan synthase	udpg(cpd00026)[0] => h(cpd00067)[0] 13BDglcn(cpd11791)[0] udp(cpd00014)[0]	N	N	Y	Y	rxn09400	(1) UDP-glucose[0] <=> (1) UDP[0] + (1) 1,3-beta-Glucan[0]
23CAPPD	ADP-ribose 2,3-cyclic phosphodiesterase	h(cpd00067)[0] h2o(cpd00001)[0] 23camp(cpd01570)[0] => amp2p(cpd00700)[0]	N	N	Y	Y	rxn13185	(1) H2O[0] + (1) 2',3'-Cyclic AMP[0] => (1) H+[0] + (1) AMP 2'-phosphate[0]
2DDA7Ptm	2-Dehydro-3-deoxy-D-arabino-heptonate7-phohsphate mitochondrial transport via diffusion	2dda7p(cpd02857)[0] => 2dda7p(cpd02857)[1]	Y	N	Y	Y	rxn09807	(1) DAHP[0] <=> (1) DAHP[1]
2DHPtm	2-Dehydropantoate mitochondrial transport	2dhp(cpd00712)[0] => 2dhp(cpd00712)[1]	Y	N	Y	Y	rxn09806	(1) 2-Dehydropantoate[0] <=> (1) 2-Dehydropantoate[1]
2DOXG6PP	2-deoxyglucose-6-phosphatase	h2o(cpd00001)[0] 2doxg6p(cpd03805)[0] => 2dglc(cpd00455)[0] pi(cpd00009)[0]	N	N	Y	Y	rxn01883	(1) H2O[0] + (1) 2-Deoxy-D-glucose 6-phosphate[0] <=> (1) Phosphate[0] + (1) 2-Deoxy-D-glucose[0]
2HBO	2-Hydroxybutyrate:NAD+ oxidoreductase	2hb(cpd03561)[0] nad(cpd00003)[0] => h(cpd00067)[0] 2obut(cpd00094)[0] nadh(cpd00004)[0]	N	N	Y	Y	rxn00741	(1) NAD[0] + (1) 2-Hydroxybutyrate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 2-Oxobutyrate[0]
2HBt2	2-hydroxybutyrate cotransport with proton	2hb(cpd03561)[0] h(cpd00067)[0] => h(cpd00067)[1] 2hb(cpd03561)[1]	Y	N	Y	Y	rxn12585	(1) H+[1] + (1) 2-Hydroxybutyrate[1] <=> (1) H+[0] + (1) 2-Hydroxybutyrate[0]
2HMHMBQMTm	2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial	2hpmhmbq(cpd03442)[0] amet(cpd00017)[0] => ahcys(cpd00019)[0] h(cpd00067)[0] q6(cpd15290)[0]	N	N	Y	Y	rxn13186	(1) S-Adenosyl-L-methionine[0] + (1) 2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) Ubiquinone-6[0]
2HP6MPMOm	2-Hexaprenyl-6-methoxyphenol monooxygenase, mitochondrial	2hp6mp(cpd03439)[0] o2(cpd00007)[0] => 2hp6mbq(cpd03440)[0] h2o(cpd00001)[0]	N	N	Y	Y	rxn03390	(1) O2[0] + (1) 2-Hexaprenyl-6-methoxyphenol[0] => (1) H2O[0] + (1) 2-Hexaprenyl-6-methoxy-1,4-benzoquinone[0]
2HPMBQMTm	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial	amet(cpd00017)[0] 2hp6mbq(cpd03440)[0] => ahcys(cpd00019)[0] h(cpd00067)[0] 2hpmmbq(cpd03441)[0]	N	N	Y	Y	rxn03391	(1) S-Adenosyl-L-methionine[0] + (1) 2-Hexaprenyl-6-methoxy-1,4-benzoquinone[0] => (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone[0]
2HPMMBQMOm	2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase, mitochondrial	(0.5) o2(cpd00007)[0] 2hpmmbq(cpd03441)[0] => 2hpmhmbq(cpd03442)[0]	N	N	Y	Y	rxn13187	(0.5) O2[0] + (1) 2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone[0] => (1) H+[0] + (1) 2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone[0]
2MBALDt	2-Methylbutanal transport (extracellular)	2mbald(cpd01499)[0] => 2mbald(cpd01499)[1]	Y	N	Y	Y	rxn13189	(1) 2-Methylbutanal[0] <=> (1) 2-Methylbutanal[1]
