ID	Name	Reversible	Reactants	Products	E.C.	Pathway
R_r0849	Enoyl-CoA hydratase	true	M_c8hcoa_m[1];	M_c8dcoa_m[1];M_h2o_m[1];			
R_r0848	Enoyl-CoA hydratase	true	M_c10hcoa_m[1];	M_c10dcoa_m[1];M_h2o_m[1];			
R_r0843	3-hydroxyacyl-CoA dehydrogenase	true	M_c4hcoa_m[1];M_nad_m[1];	M_aaccoa_m[1];M_h_m[1];M_nadh_m[1];			
R_r0842	3-hydroxyacyl-CoA dehydrogenase	true	M_c6hcoa_m[1];M_nad_m[1];	M_c6ocoa_m[1];M_h_m[1];M_nadh_m[1];			
R_r0841	3-hydroxyacyl-CoA dehydrogenase	true	M_c8hcoa_m[1];M_nad_m[1];	M_c8ocoa_m[1];M_h_m[1];M_nadh_m[1];			
R_r0840	3-hydroxyacyl-CoA dehydrogenase	true	M_c10hcoa_m[1];M_nad_m[1];	M_c10ocoa_m[1];M_h_m[1];M_nadh_m[1];			
R_r0847	Enoyl-CoA hydratase	true	M_c12hcoa_m[1];	M_c12dcoa_m[1];M_h2o_m[1];			
R_r0846	Enoyl-CoA hydratase	true	M_c14hcoa_m[1];	M_c14dcoa_m[1];M_h2o_m[1];			
R_r0845	Enoyl-CoA hydratase	true	M_c16hcoa_m[1];	M_c16dcoa_m[1];M_h2o_m[1];			
R_r0844	Enoyl-CoA hydratase	true	M_c18hcoa_m[1];	M_c18dcoa_m[1];M_h2o_m[1];			
R_r1080	Norsolorinic acid reductase	false	M_h_c[2];M_nadph_c[1];M_nor_c[1];	M_avn_c[1];M_nadp_c[1];			
R_r1081	Demethylsterigmatocystin 6-O-methyltransferase	false	M_dmst_c[1];M_sam_c[1];	M_h_c[1];M_sah_c[1];M_st_c[1];			
R_r1082	Demethylsterigmatocystin 6-O-methyltransferase	false	M_dhdmst_c[1];M_sam_c[1];	M_dhst_c[1];M_h_c[1];M_sah_c[1];			
R_r1083	Nitrilase	true	M_bn_c[1];M_h2o_c[2];	M_ba_c[1];M_nh3_c[1];			
R_r1084	benzoylformate decarboxylase	false	M_bfor_c[1];M_h_c[1];	M_bal_c[1];M_co2_c[1];			
R_r1085	Carboxy-cis,cis-muconate cyclase	true	M_coac_e[1];	M_cmuc_e[1];			
R_r1086	catechol 1,2-dioxygenase	false	M_ccl_c[1];M_o2_c[1];	M_muc_c[1];			
R_r1087	3-hydroxybenzoate 4-monooxygenase	false	M_3hba_c[1];M_h_c[1];M_nadph_c[1];M_o2_c[1];	M_h2o_c[1];M_nadp_c[1];M_pcace_c[1];			
R_r1088	maleylacetate reductase	false	M_2mac_c[1];M_h_c[1];M_nadph_c[1];	M_3oa_c[1];M_nadp_c[1];			
R_r1089	acetyl-CoA C-acyltransferase	true	M_3oacoa_m[1];M_coa_m[1];	M_accoa_m[1];M_succoa_m[1];			
R_tr_tre	Alpha,alpha-trehalose transporter	true	M_tre_e[1];	M_tre_c[1];			
R_r0601	Urea carboxylase	true	M_atp_c[1];M_co2_c[1];M_h2o_c[1];M_urea_c[1];	M_adp_c[1];M_h_c[2];M_pi_c[1];M_ureac_c[1];			
R_r0600	carbonate dehydratase	true	M_h_c[1];M_hco3_c[1];	M_co2_c[1];M_h2o_c[1];			
R_r0603	nitrite reductase [NAD(P)H]	false	M_h_c[5];M_hno2_c[1];M_nadph_c[3];	M_h2o_c[1];M_nadp_c[3];M_nh4oh_c[1];			
