ID	NAMES	COMPARTMENT	MATCH	MODELSEED	MS NAMES
13GLUCAN	1,3-beta-D-Glucan	Cytosol	Y	cpd11791	1,3-beta-Glucan
13GLUCANe	1,3-beta-D-Glucan	Extracellular_space	Y	cpd11791	1,3-beta-Glucan
13PDG	1,3-Bisphospho-D-glycerate	Cytosol	Y	cpd00203	1,3-Bisphospho-D-glycerate
14GLUCAN	1,4-alphaglucan	Cytosol	Y	cpd11735	Amylose
2D3DGALT	2-Dehydro-3-deoxy-D-galactonate	Cytosol	Y	cpd00894	2-Dehydro-3-deoxy-D-galactonate
2HPAC	2-hydroxyphenylacetic_acid	Cytosol	Y	cpd03480	2-Hydroxyphenylacetate
2MAC	2-maleyl_acetate	Cytosol	Y	cpd01498	Maleylacetate
2MACOm	2-methyl_aconitate	Mitochondrion	Y	cpd02597	cis-2-Methylaconitate
2MCITm	2-methyl_citrate	Mitochondrion	Y	cpd01501	2-Methylcitrate
2MICITm	2-methyl_isocitrate	Mitochondrion	Y	cpd02799	Methylisocitrate
2PG	2-Phospho-D-glycerate	Cytosol	Y	cpd00482	2-Phospho-D-glycerate
2_Oxoglutarate_input	Input/Output_of_2-Oxoglutarate._Artificial_metabolite	System_input	N	fcpd01991	
345THBe	Gallic_acid	Extracellular_space	Y	cpd01020	Gallate
3CMUCO	3-Carboxymuconate	Cytosol	Y	cpd00856	3-Carboxy-cis,cis-muconate
3CPYRD	3-cyanopyridine	Cytosol	Y	cpd22005	3-cyanopyridine
3CPYRD_input	Input/Output_of_3-cyanopyridine._Artificial_metabolite	System_input	N	fcpd01992	
3CPYRDe	3-cyanopyridine	Extracellular_space	Y	cpd22005	3-cyanopyridine
3DDAH7P	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate_	Cytosol	Y	cpd02857	DAHP
3FPYR	3-fumarylpyruvate	Cytosol	Y	cpd01653	3-Fumarylpyruvate
3HBA	3-hydroxybenzoate;_m-hydroxybenzoate	Cytosol	Y	cpd00456	3-Hydroxybenzoate
3HBAe	3-hydroxybenzoate;_m-hydroxybenzoate	Extracellular_space	Y	cpd00456	3-Hydroxybenzoate
3HIND	3-hydroxyindoxyle	Cytosol	Y	cpd03369	Indoxyl
3HPYR	3-hydroxypyruvate	Cytosol	Y	cpd00145	Hydroxypyruvate
3MPYR	3-maleylpyruvate	Cytosol	Y	cpd01466	Maleylpyruvate
3OA	3-oxoadipate	Cytosol	Y	cpd00630	3-Oxoadipate
3OACOAm	3-oxoadipyl-CoA	Mitochondrion	Y	cpd01507	3-Oxoadipyl-CoA
3OAm	3-oxoadipate	Mitochondrion	Y	cpd00630	3-Oxoadipate
3PG	3-Phospho-D-glycerate	Cytosol	Y	cpd00169	3-Phosphoglycerate
3PSER	3-Phosphoserine	Cytosol	Y	cpd00738	phosphoserine
3PSME	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	Cytosol	Y	cpd00932	5-O--1-Carboxyvinyl-3-phosphoshikimate
