ID	NAMES	EQUATION
00001	T00120_4501_C4__(1.0Formate(MITO)=>1.0Formate(CYTO))	00001[0] => 00002[1]
00002	R04748_C4__((S)-Hydroxyhexanoyl-CoA+NAD+<=>3-Oxohexanoyl-CoA+NADH+H+)	00004[0] 00007[0] => 00003[0] 00005[0] 00006[0]
00003	R04737_C4__((S)-3-Hydroxyhexadecanoyl-CoA+NAD+<=>3-Oxopalmitoyl-CoA+NADH+H+)	00004[0] 00009[0] => 00008[0] 00005[0] 00006[0]
00004	T00120_4513_C4__(1.0L-Aspartate4-semialdehyde(MITO)=>1.0L-Aspartate4-semialdehyde(CYTO))	00010[0] => 00011[1]
00005	T02578_0_0_2393_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0Nitricoxide(CYTO)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0Nitricoxide(EXTR))	00012[0] 00013[0] 00014[0] => 00015[0] 00016[0] 00017[1]
00006	R01011_C3__(ATP+Glycerone=>ADP+Glyceronephosphate)	00012[0] 00019[0] => 00018[0] 00016[0]
00007	R00549_C3__(ATP+Riboflavin=>ADP+FMN)	00020[0] 00012[0] => 00021[0] 00016[0]
00008	T00016_2092_C4__(1.04-Methyl-2-oxopentanoate(MITO)<=>1.04-Methyl-2-oxopentanoate(CYTO))	00022[0] => 00023[1]
00009	T02578_0_0_2392_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0L-Glutamate(CYTO)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0L-Glutamate(EXTR))	00012[0] 00013[0] 00024[0] => 00015[0] 00016[0] 00025[1]
00010	T02578_0_0_2391_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0Glycine(CYTO)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0Glycine(EXTR))	00012[0] 00013[0] 00026[0] => 00015[0] 00016[0] 00027[1]
00011	R06263_C3__(DolichylD-glucosylphosphate+G10598<=>Dolichylphosphate+G10599)	00028[0] 00031[0] => 00029[0] 00030[0]
00012	R04745_C4__((S)-3-Hydroxyoctanoyl-CoA+NAD+<=>3-Oxooctanoyl-CoA+NADH+H+)	00032[0] 00004[0] => 00033[0] 00005[0] 00006[0]
00013	R00765_C3__(D-Glucosamine6-phosphate+H2O<=>D-Fructose6-phosphate+NH3)	00013[0] 00035[0] => 00034[0] 00036[0]
00014	R07890_C3__(3-Hydroxy-OPC8-CoA+NAD+<=>3-Oxo-OPC8-CoA+NADH+H+)	00037[0] 00038[0] => 00039[0] 00040[0] 00041[0]
00015	R04741_C3__((S)-3-Hydroxydodecanoyl-CoA+NAD+<=>3-Oxododecanoyl-CoA+NADH+H+)	00042[0] 00037[0] => 00043[0] 00039[0] 00041[0]
00016	T02790_577_0_0_0_0_C7__(1.0Dimethylallyldiphosphate(CYTO)+1.0ATP(CYTO)+1.0H2O(CYTO)=>1.0Dimethylallyldiphosphate(EXTR)+1.0Orthophosphate(CYTO)+1.0ADP(CYTO))	00044[0] 00012[0] 00013[0] => 00045[1] 00015[0] 00016[0]
00017	R04743_C4__((S)-Hydroxydecanoyl-CoA+NAD+<=>3-Oxodecanoyl-CoA+NADH+H+)	00046[0] 00004[0] => 00047[0] 00005[0] 00006[0]
00018	R07894_C3__(3-Hydroxy-OPC6-CoA+NAD+<=>3-Oxo-OPC6-CoA+NADH+H+)	00037[0] 00049[0] => 00039[0] 00041[0] 00048[0]
00019	R07898_C3__(3-Hydroxy-OPC4-CoA+NAD+<=>3-Oxo-OPC4-CoA+NADH+H+)	00037[0] 00051[0] => 00050[0] 00039[0] 00041[0]
00020	R01826_C3__(Phosphoenolpyruvate+D-Erythrose4-phosphate+H2O=>2-Dehydro-3-deoxy-D-arabino-heptonate7-phosphate+Orthophosphate)	00013[0] 00053[0] 00054[0] => 00052[0] 00015[0]
00021	T02699_0_0_901_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0L-Threonine(EXTR)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0L-Threonine(CYTO))	00012[0] 00013[0] 00055[1] => 00015[0] 00016[0] 00056[0]
00022	T02699_0_0_900_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0L-Methionine(EXTR)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0L-Methionine(CYTO))	00012[0] 00013[0] 00057[1] => 00015[0] 00016[0] 00058[0]
00023	T00016_2264_C4__(1.0Isocitrate(MITO)<=>1.0Isocitrate(CYTO))	00059[0] => 00060[1]
00024	T02699_0_0_19_0_0_C7__(1.02-Naphthol(EXTR)+1.0ATP(CYTO)+1.0H2O(CYTO)=>1.02-Naphthol(CYTO)+1.0Orthophosphate(CYTO)+1.0ADP(CYTO))	00061[0] 00012[1] 00013[1] => 00062[1] 00015[1] 00016[1]
00025	T02578_0_0_935_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0TamoxifenN-oxide(CYTO)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0TamoxifenN-oxide(EXTR))	00012[0] 00013[0] 00063[0] => 00015[0] 00016[0] 00064[1]
00026	T02699_0_0_2001_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0L-Citrulline(EXTR)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0L-Citrulline(CYTO))	00012[0] 00013[0] 00065[1] => 00015[0] 00016[0] 00066[0]
00027	T02790_596_0_0_0_0_C7__(1.0Presqualenediphosphate(CYTO)+1.0ATP(CYTO)+1.0H2O(CYTO)=>1.0Presqualenediphosphate(EXTR)+1.0Orthophosphate(CYTO)+1.0ADP(CYTO))	00067[0] 00012[0] 00013[0] => 00068[1] 00015[0] 00016[0]
00028	R00851_C3__(sn-Glycerol3-phosphate+Acyl-CoA=>1-Acyl-sn-glycerol3-phosphate+CoA)	00069[0] 00071[0] => 00070[0] 00072[0]
00029	T01268_C4__(1.0Oxaloacetate(CYTO)+1.0H+(CYTO)<=>1.0Oxaloacetate(MITO)+1.0H+(MITO))	00073[0] 00041[0] => 00074[1] 00006[1]
00030	T00016_2291_C4__(1.02-Dehydropantoate(MITO)<=>1.02-Dehydropantoate(CYTO))	00075[0] => 00076[1]
00031	T00014_C4__(1.0Formate(CYTO)<=>1.0Formate(MITO))	00002[0] => 00001[1]
00032	T02699_0_0_909_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0L-Histidine(EXTR)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0L-Histidine(CYTO))	00012[0] 00013[0] 00077[1] => 00015[0] 00016[0] 00078[0]
00033	T02699_0_0_908_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0Succinate(EXTR)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0Succinate(CYTO))	00012[0] 00013[0] 00079[1] => 00015[0] 00016[0] 00080[0]
