#ID	Name	Compartment	Charge	boundary Condition
M_m1	(R)-Lactate	C_5	UNDEF	true
M_m2	(S)-Lactate	C_5	UNDEF	true
M_m3	Acetate	C_5	UNDEF	true
M_m4	(S)(+)-Allantoin	C_5	UNDEF	true
M_m5	Biotin	C_5	UNDEF	true
M_m6	Biomass	C_5	UNDEF	true
M_m7	Cellobiose	C_5	UNDEF	true
M_m8	Chitin	C_5	UNDEF	true
M_m9	CO2	C_5	UNDEF	true
M_m10	CO2	C_2	UNDEF	true
M_m11	Ethanol	C_5	UNDEF	true
M_m12	alpha-D-Glucose	C_5	UNDEF	true
M_m13	Glycerol	C_5	UNDEF	true
M_m14	Nitrate	C_5	UNDEF	true
M_m15	Oxygen	C_5	UNDEF	true
M_m16	(9Z)-Octadecenoic acid	C_5	UNDEF	true
M_m17	NH3	C_5	UNDEF	true
M_m18	Orthophosphate	C_5	UNDEF	true
M_m19	Pyruvate	C_5	UNDEF	true
M_m20	Sulfate	C_5	UNDEF	true
M_m21	D-Sorbitol	C_5	UNDEF	true
M_m22	Sulfur	C_5	UNDEF	true
M_m24	alpha,alpha-Trehalose	C_5	UNDEF	true
M_m25	Urea	C_5	UNDEF	true
M_m26	L-Alanine	C_5	UNDEF	true
M_m27	L-Proline	C_5	UNDEF	true
M_m28	L-Methionine	C_5	UNDEF	true
M_m29	L-Arginine	C_5	UNDEF	true
M_m30	L-Lysine	C_5	UNDEF	true
M_m31	L-Asparagine	C_5	UNDEF	true
M_m32	L-Aspartate	C_5	UNDEF	true
M_m33	L-Cysteine	C_5	UNDEF	true
M_m34	L-Glutamine	C_5	UNDEF	true
M_m35	L-Glutamate	C_5	UNDEF	true
M_m36	Glycine	C_5	UNDEF	true
M_m37	L-Histidine	C_5	UNDEF	true
M_m38	L-Isoleucine	C_5	UNDEF	true
M_m39	L-Leucine	C_5	UNDEF	true
M_m40	L-Ornithine	C_5	UNDEF	true
M_m41	L-Phenylalanine	C_5	UNDEF	true
M_m42	L-Serine	C_5	UNDEF	true
M_m43	L-Threonine	C_5	UNDEF	true
M_m44	L-Tryptophan	C_5	UNDEF	true
M_m45	L-Tyrosine	C_5	UNDEF	true
M_m46	L-Valine	C_5	UNDEF	true
M_m47	Acyl-carrier protein	C_5	UNDEF	true
M_m48	beta-D-Fructose	C_5	UNDEF	true
M_m49	CoA	C_5	UNDEF	true
M_m50	Fe2+	C_5	UNDEF	true
M_m51	H2O	C_5	UNDEF	true
M_m52	myo-inositol	C_5	UNDEF	true
M_m53	Formate	C_5	UNDEF	true
M_m54	D-Xylose	C_5	UNDEF	true
M_m55	H+	C_5	UNDEF	true
M_m56	 Acetate	C_5	UNDEF	true
M_m57	ATP	C_3	UNDEF	false
M_m58	ADP	C_3	UNDEF	false
M_m59	alpha-D-Glucose 6-phosphate	C_3	UNDEF	false
M_m60	H2O	C_3	UNDEF	false
M_m61	alpha-D-Glucose	C_3	UNDEF	false
M_m62	Orthophosphate	C_3	UNDEF	false
M_m63	beta-D-Glucose	C_3	UNDEF	false
M_m64	beta-D-Fructose 6-phosphate	C_3	UNDEF	false
M_m65	beta-D-Fructose 1,6-bisphosphate	C_3	UNDEF	false
M_m66	Glycerone phosphate	C_3	UNDEF	false
M_m67	D-Glyceraldehyde 3-phosphate	C_3	UNDEF	false
M_m68	NAD+	C_3	UNDEF	false
M_m69	3-Phospho-D-glyceroyl phosphate	C_3	UNDEF	false
M_m70	NADH	C_3	UNDEF	false
M_m71	H+	C_3	UNDEF	false
M_m72	3-Phospho-D-glycerate	C_3	UNDEF	false
M_m73	2-Phospho-D-glycerate	C_3	UNDEF	false
M_m74	Phosphoenolpyruvate	C_3	UNDEF	false
M_m75	Pyruvate	C_3	UNDEF	false
M_m76	alpha-D-Glucose 1-phosphate	C_3	UNDEF	false
M_m77	UTP	C_3	UNDEF	false
M_m78	Diphosphate	C_3	UNDEF	false
M_m79	UDP-glucose	C_3	UNDEF	false
M_m80	UDP	C_3	UNDEF	false
M_m81	1,3-beta-D-Glucan	C_3	UNDEF	false
M_m82	alpha,alpha'-Trehalose 6-phosphate	C_3	UNDEF	false
M_m83	alpha,alpha-Trehalose	C_3	UNDEF	false
M_m84	Glycogen	C_3	UNDEF	false
M_m85	alpha-D-Glucose-1-phosphate	C_3	UNDEF	false
M_m86	Cellobiose	C_3	UNDEF	false
M_m87	Amylose	C_3	UNDEF	false
M_m88	D-Glucose 1-phosphate	C_3	UNDEF	false
M_m89	Maltose	C_3	UNDEF	false
M_m90	(S)-Lactate	C_3	UNDEF	false
M_m91	(R)-Lactate	C_3	UNDEF	false
M_m92	CoA	C_3	UNDEF	false
M_m93	O-Acetylcarnitine	C_3	UNDEF	false
M_m94	Acetyl-CoA	C_3	UNDEF	false
M_m95	Carnitine	C_3	UNDEF	false
M_m96	Glyoxylate	C_3	UNDEF	false
M_m97	(S)-Malate	C_3	UNDEF	false
M_m98	Oxaloacetate	C_3	UNDEF	false
M_m99	3-Methyl-2-oxobutanoic acid	C_3	UNDEF	false
M_m100	(2S)-2-Isopropylmalate	C_3	UNDEF	false
M_m101	CO2	C_3	UNDEF	false
M_m102	Malonyl-CoA	C_3	UNDEF	false
M_m103	Acetoacetyl-CoA	C_3	UNDEF	false
M_m104	Acetate	C_3	UNDEF	false
M_m105	Acetaldehyde	C_3	UNDEF	false
M_m106	Ethanol	C_3	UNDEF	false
M_m107	NADP+	C_3	UNDEF	false
M_m108	NADPH	C_3	UNDEF	false
M_m109	AMP	C_3	UNDEF	false
M_m110	Isocitrate	C_3	UNDEF	false
M_m111	Oxalosuccinate	C_3	UNDEF	false
M_m112	2-Oxoglutarate	C_3	UNDEF	false
M_m113	Fumarate	C_3	UNDEF	false
M_m114	Succinate	C_3	UNDEF	false
M_m115	Glycolaldehyde	C_3	UNDEF	false
M_m116	Glycolate	C_3	UNDEF	false
M_m117	Oxygen	C_3	UNDEF	false
M_m118	H2O2	C_3	UNDEF	false
M_m119	Formate	C_3	UNDEF	false
M_m120	D-Glucono-1,5-lactone 6-phosphate	C_3	UNDEF	false
M_m121	6-Phospho-D-gluconate	C_3	UNDEF	false
M_m122	D-Ribulose 5-phosphate	C_3	UNDEF	false
M_m123	D-Ribose 5-phosphate	C_3	UNDEF	false
M_m124	D-Ribose	C_3	UNDEF	false
M_m125	alpha-D-Ribose 1-phosphate	C_3	UNDEF	false
M_m126	5-Phospho-alpha-D-ribose 1-diphosphate	C_3	UNDEF	false
M_m127	Sedoheptulose 7-phosphate	C_3	UNDEF	false
M_m128	D-Xylulose 5-phosphate	C_3	UNDEF	false
M_m129	D-Erythrose 4-phosphate	C_3	UNDEF	false
M_m130	D-Glucono-1,5-lactone	C_3	UNDEF	false
M_m131	D-Gluconic acid	C_3	UNDEF	false
M_m132	L-Alanine	C_3	UNDEF	false
M_m133	L-Glutamate	C_3	UNDEF	false
M_m134	L-Citrulline	C_3	UNDEF	false
M_m135	L-Aspartate	C_3	UNDEF	false
M_m136	N-(L-Arginino)succinate	C_3	UNDEF	false
M_m137	L-Arginine	C_3	UNDEF	false
