ID	NAMES	COMPARTMENT	MATCH	MODELSEED	MS NAMES
13GLUCAN	1,3-beta-D-glucan	p	Y	cpd11791	1,3-beta-Glucan
13PDG	3-phospho-D-glyceroyl phosphate	c	Y	cpd00203	1,3-Bisphospho-D-glycerate
14GLUCAN	1,4-beta-D-glucan	e	Y	cpd11735	Amylose
14MLNST	14-demethyl-lanosterol	c	Y	cpd03038	14-Demethyllanosterol
2N6H	6-hydroxy-2-octaprenylphenol	m	N	fcpd01350	6-hydroxy-2-octaprenylphenol
2NMHMB	3-demethylubiquinone-8	m	Y	fcpd01000	3-demethylubiquinone-8_
2NPMB	6-methoxy-2-octaprenyl-1,4-benzoquinone	m	N	fcpd01351	6-methoxy-2-octaprenyl-1,4-benzoquinone
2NPMMB	3-methyl-6-methoxy-2-octaprenyl-1,4-benzoquinone	m	Y	cpd03448	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
2NPMP	6-methoxy-2-octaprenylphenol	m	N	fcpd01352	6-methoxy-2-octaprenylphenol
2NPPP	2-octaprenylphenol	c	Y	cpd03444	2-Octaprenylphenol
2PG	2-phospho-D-glycerate	c	Y	cpd00482	2-Phospho-D-glycerate
3DDAH7P	2-dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	c	Y	cpd02857	DAHP
3PG	3-phospho-D-glycerate	m	Y	cpd00169	3-Phosphoglycerate
3PSER	O-phospho-L-serine	c	Y	cpd00738	phosphoserine
3PSME	5-O-(1-carboxyvinyl)-3-phosphoshikimate	m	Y	cpd00932	5-O--1-Carboxyvinyl-3-phosphoshikimate
3SULALA	3-sulfino-L-alanine	c	Y	cpd00467	3-Sulfinoalanine
44MACHL	4,4-dimethyl-cholesta-8,14,24-trienol	c	Y	cpd08302	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol
45ERSOL	4alpha-methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol	p	Y	cpd08347	delta8,14 -Sterol
4CMCOA	4-coumaroyl-CoA	c	Y	cpd00192	4-Coumaroyl-CoA
4HBZ	4-hydroxybenzoate	p	Y	cpd00136	4-Hydroxybenzoate
4HPP	3-(4-hydroxyphenyl)pyruvate	m	Y	cpd00868	p-hydroxyphenylpyruvate
4PPNCYS	N-((R)-4'-phosphopantothenoyl)-L-cysteine	c	Y	cpd02666	(R)-4'-Phosphopantothenoyl-L-cysteine
4PPNTE	pantetheine 4'-phosphate	m	Y	cpd00834	Phosphopantetheine
4PPNTO	(R)-4'-phosphopantothenate	c	Y	cpd02201	4-phosphopantothenate
5DA	5'-deoxyadenosine	c	Y	cpd03091	5'-Deoxyadenosine
5MTA	5'-S-methyl-5'-thioadenosine	p	Y	cpd00147	5-Methylthioadenosine
5OXOPRO	5-oxo-L-proline	c	Y	cpd01293	5-Oxoproline
5THR1P	S-methyl-5-thio-D-ribose 1-phosphate	c	Y	cpd02574	methylthioribose-1-phosphate
