complex_id	complex_name	complex_source	complex_type	role_id	role_name	role_type	role_source	role_aliases	role_exemplar	type	triggering	optional
cpx.11907	cpx.11907	KEGG	KEGG_role_complex	fr.50000	arginine N-succinyltransferase (EC 2.3.1.109)	KEGG_role	KEGG	searchname:argininen-succinyltransferase(ec);kegg:arginine succinyltransferase (EC 2.3.1.109);kegg:AstA (EC 2.3.1.109);kegg:arginine and ornithine N2-succinyltransferase (EC 2.3.1.109);kegg:AOST (EC 2.3.1.109);kegg:AST (EC 2.3.1.109);kegg:succinyl-CoA:L-arginine 2-N-succinyltransferase (EC 2.3.1.109)	null	role_mapping	1	0
cpx.11906	cpx.11906	KEGG	KEGG_role_complex	fr.50001	alpha-tubulin N-acetyltransferase (EC 2.3.1.108)	KEGG_role	KEGG	searchname:alpha-tubulinn-acetyltransferase(ec);kegg:alpha-tubulin acetylase (EC 2.3.1.108);kegg:TAT (EC 2.3.1.108);kegg:alpha-tubulin acetyltransferase (EC 2.3.1.108);kegg:tubulin N-acetyltransferase (EC 2.3.1.108);kegg:acetyl-CoA:alpha-tubulin-L-lysine N-acetyltransferase (EC 2.3.1.108);kegg:acetyl-CoA:[alpha-tubulin]-L-lysine 6-N-acetyltransferase (EC 2.3.1.108)	null	role_mapping	1	0
cpx.11905	cpx.11905	KEGG	KEGG_role_complex	fr.50002	deacetylvindoline O-acetyltransferase (EC 2.3.1.107)	KEGG_role	KEGG	searchname:deacetylvindolineo-acetyltransferase(ec);kegg:deacetylvindoline acetyltransferase (EC 2.3.1.107);kegg:DAT (EC 2.3.1.107);kegg:17-O-deacetylvindoline-17-O-acetyltransferase (EC 2.3.1.107);kegg:acetylcoenzyme A-deacetylvindoline 4-O-acetyltransferase (EC 2.3.1.107);kegg:acetyl-CoA-17-O-deacetylvindoline 17-O-acetyltransferase (EC 2.3.1.107);kegg:acetylcoenzyme A:deacetylvindoline 4-O-acetyltransferase (EC 2.3.1.107);kegg:acetylcoenzyme A:deacetylvindoline O-acetyltransferase (EC 2.3.1.107);kegg:17-O-deacetylvindoline O-acetyltransferase (EC 2.3.1.107);kegg:acetyl-CoA:17-O-deacetylvindoline 17-O-acetyltransferase (EC 2.3.1.107)	null	role_mapping	1	0
cpx.14129	cpx.14129	KEGG	KEGG_role_complex	fr.50003	caspase-6 (EC 3.4.22.59)	KEGG_role	KEGG	searchname:caspase-6(ec);kegg:CASP-6 (EC 3.4.22.59);kegg:apoptotic protease Mch-2 (EC 3.4.22.59);kegg:Mch2 (EC 3.4.22.59)	null	role_mapping	1	0
cpx.12638	cpx.12638	KEGG	KEGG_role_complex	fr.50004	N6-acetyl-beta-lysine transaminase (EC 2.6.1.65)	KEGG_role	KEGG	searchname:n6-acetyl-beta-lysinetransaminase(ec);kegg:epsilon-acetyl-beta-lysine aminotransferase (EC 2.6.1.65)	null	role_mapping	1	0
cpx.12639	cpx.12639	KEGG	KEGG_role_complex	fr.50005	valine---pyruvate transaminase (EC 2.6.1.66)	KEGG_role	KEGG	searchname:valine---pyruvatetransaminase(ec);kegg:transaminase C (EC 2.6.1.66);kegg:valine-pyruvate aminotransferase (EC 2.6.1.66);kegg:alanine-oxoisovalerate aminotransferase (EC 2.6.1.66)	null	role_mapping	1	0
cpx.11901	cpx.11901	KEGG	KEGG_role_complex	fr.50006	sinapoylglucose---sinapoylglucose O-sinapoyltransferase (EC 2.3.1.103)	KEGG_role	KEGG	searchname:sinapoylglucose---sinapoylglucoseo-sinapoyltransferase(ec);kegg:hydroxycinnamoylglucose-hydroxycinnamoylglucose hydroxycinnamoyltransferase (EC 2.3.1.103);kegg:1-(hydroxycinnamoyl)-glucose:1-(hydroxycinnamoyl)-glucose hydroxycinnamoyltransferase (EC 2.3.1.103)	null	role_mapping	1	0
cpx.11900	cpx.11900	KEGG	KEGG_role_complex	fr.50007	N6-hydroxylysine O-acetyltransferase (EC 2.3.1.102)	KEGG_role	KEGG	searchname:n6-hydroxylysineo-acetyltransferase(ec);kegg:N6-hydroxylysine:acetyl CoA N6-transacetylase (EC 2.3.1.102);kegg:N6-hydroxylysine acetylase (EC 2.3.1.102);kegg:acetyl-CoA:6-N-hydroxy-L-lysine 6-acetyltransferase (EC 2.3.1.102)	null	role_mapping	1	0
cpx.12635	cpx.12635	KEGG	KEGG_role_complex	fr.50008	adenosylmethionine---8-amino-7-oxononanoate transaminase (EC 2.6.1.62)	KEGG_role	KEGG	searchname:adenosylmethionine---8-amino-7-oxononanoatetransaminase(ec);kegg:7,8-diaminonanoate transaminase (EC 2.6.1.62);kegg:7,8-diaminononanoate transaminase (EC 2.6.1.62);kegg:DAPA transaminase (EC 2.6.1.62);kegg:7,8-diaminopelargonic acid aminotransferase (EC 2.6.1.62);kegg:DAPA aminotransferase (EC 2.6.1.62);kegg:7-keto-8-aminopelargonic acid (EC 2.6.1.62);kegg:diaminopelargonate synthase (EC 2.6.1.62);kegg:7-keto-8-aminopelargonic acid aminotransferase (EC 2.6.1.62)	null	role_mapping	1	0
cpx.12636	cpx.12636	KEGG	KEGG_role_complex	fr.50009	kynurenine---glyoxylate transaminase (EC 2.6.1.63)	KEGG_role	KEGG	searchname:kynurenine---glyoxylatetransaminase(ec);kegg:kynurenine-glyoxylate aminotransferase (EC 2.6.1.63)	null	role_mapping	1	0
